Method,Time (s),Success,Mask Area,Mask Shape,Error
KMeans,0.026181459426879883,True,279260,"(960, 640)",
Neural,0.37090158462524414,True,614400,"(960, 640)",
GrabCut,23.408077239990234,True,197751,"(960, 640)",
FloodFill,27.714896202087402,True,248085,"(960, 640)",
MeanShift,37.873111724853516,True,613513,"(960, 640)",
Watershed,469.7267074584961,True,545472,"(960, 640)",
