Method,Time (s),Success,Mask Area,Mask Shape,Error
GrabCut,0.010401487350463867,True,69692,"(270, 480)",
KMeans,0.010565519332885742,True,73874,"(270, 480)",
Neural,0.22575950622558594,True,128681,"(270, 480)",
MeanShift,6.591224908828735,True,128577,"(270, 480)",
FloodFill,10.284474849700928,True,0,"(270, 480)",
Watershed,189.51390385627747,True,120563,"(270, 480)",
