method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,sklearn_kmeans_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff,sklearn_dbscan_area,sklearn_meanshift_area,skimage_felzenszwalb_area,skimage_slic_area,skimage_watershed_area,skimage_threshold_otsu_area,skimage_canny_area
sklearn_kmeans,sklearn_kmeans,1.0,1.0,1.0,1.0,1.0,0.9999999999999765,0.999999999999953,1.0,213172.0,0,0.999999999999953,235178,0,0,213172,0.18786382675170898,0.18786382675170898,0.0,,,,,,,
sklearn_kmeans,sklearn_dbscan,0.7130545332887254,0.9844108207244383,0.40286716829602387,0.5717481325646113,0.4003132399828464,0.5717481325645922,0.4003132399828277,0.7130545332887254,213172.0,125932,0.4092469930384661,233818,1360,127292,85880,0.18786382675170898,0.3482534885406494,0.16038966178894043,87240.0,,,,,,
sklearn_kmeans,sklearn_meanshift,0.472583918813427,0.47394650841831426,0.9939532396374758,0.641843106903169,0.472583918813427,0.6418431069031593,0.47258391881341644,0.472583918813427,213172.0,18446744073709317727,0.476829783854989,0,235178,1289,211883,0.18786382675170898,15.477952718734741,15.290088891983032,,447061.0,,,,,
sklearn_kmeans,skimage_felzenszwalb,0.3227656964425114,0.38086923085026814,0.6783864672658698,0.48784544178766126,0.3226161235557757,0.487845441787653,0.32261612355576846,0.3227656964425114,213172.0,18446744073709385096,0.5614340044035544,99,235079,68559,144613,0.18786382675170898,0.30322766304016113,0.11536383628845215,,,379692.0,,,,
sklearn_kmeans,skimage_slic,0.5410103713616594,0.5088479457044806,0.9960407558215901,0.6735824276224375,0.5078207961426973,0.6735824276224268,0.507820796142685,0.5410103713616594,213172.0,18446744073709347516,0.5108706071818739,30234,204944,844,212328,0.18786382675170898,0.2459573745727539,0.05809354782104492,,,,417272.0,,,
sklearn_kmeans,skimage_watershed,0.47545444407271104,0.4754565649896955,0.9999906179047905,0.6444854275003024,0.47545444407271104,0.6444854275002926,0.47545444407270043,0.47545444407271104,213172.0,18446744073709316440,0.4754610258102974,0,235178,2,213170,0.18786382675170898,0.10480260848999023,0.08306121826171875,,,,,448348.0,,
sklearn_kmeans,skimage_threshold_otsu,0.3895081967213115,0.36188472980125197,0.37207044077083296,0.3669069074625761,0.22466992796625773,0.3669069074625676,0.22466992796625135,0.3895081967213115,213172.0,18446744073709545616,0.9726242403226245,95321,139857,133857,79315,0.18786382675170898,0.0010724067687988281,0.18679141998291016,,,,,,219172.0,
sklearn_kmeans,skimage_canny,0.3952202520352403,0.16031401956763724,0.06418291332820446,0.09166647125624336,0.04803482718064844,0.09166647125624029,0.04803482718064676,0.3952202520352403,213172.0,127827,0.40035745782746324,163515,71663,199490,13682,0.18786382675170898,0.019301414489746094,0.1685624122619629,,,,,,,85345.0
sklearn_dbscan,sklearn_kmeans,0.7130545332887254,0.40286716829602387,0.9844108207244383,0.5717481325646113,0.4003132399828464,0.5717481325645922,0.4003132399828277,0.7130545332887254,213172.0,18446744073709425684,0.4092469930384661,233818,127292,1360,85880,0.3482534885406494,0.18786382675170898,0.16038966178894043,87240.0,,,,,,
sklearn_dbscan,sklearn_dbscan,1.0,1.0,1.0,1.0,1.0,0.9999999999999426,0.9999999999998854,1.0,,0,0.9999999999998854,361110,0,0,87240,0.3482534885406494,0.3482534885406494,0.0,87240.0,,,,,,
sklearn_dbscan,sklearn_meanshift,0.19174082747853238,0.19227577444688757,0.9853163686382393,0.32176245225069766,0.1917264052888197,0.3217624522506916,0.1917264052888154,0.19174082747853238,,18446744073709191795,0.19514115523384515,8,361102,1281,85959,0.3482534885406494,15.477952718734741,15.129699230194092,87240.0,447061.0,,,,,
sklearn_dbscan,skimage_felzenszwalb,0.15193487230957958,0.11417412007627235,0.49691655204034846,0.18568442514113404,0.10234406170248429,0.18568442514113007,0.10234406170248188,0.15193487230957958,,18446744073709259164,0.22976517809171038,24769,336341,43889,43351,0.3482534885406494,0.30322766304016113,0.04502582550048828,87240.0,,379692.0,,,,
sklearn_dbscan,skimage_slic,0.2636288613806178,0.20892846872064266,0.9993122420907841,0.34560129392363315,0.2088984309854025,0.34560129392362626,0.2088984309853975,0.2636288613806178,,18446744073709221584,0.20907225982092714,31018,330092,60,87180,0.3482534885406494,0.2459573745727539,0.10229611396789551,87240.0,,,417272.0,,,
sklearn_dbscan,skimage_watershed,0.19458458793353406,0.19458099511986224,1.0,0.3257727955069942,0.19458099511986224,0.32577279550698807,0.1945809951198579,0.19458458793353406,,18446744073709190508,0.1945809951198579,2,361108,0,87240,0.3482534885406494,0.10480260848999023,0.24345088005065918,87240.0,,,,448348.0,,
sklearn_dbscan,skimage_threshold_otsu,0.4744329207092673,0.16145766795028563,0.4056281522237506,0.23097659360599454,0.1305672908403284,0.230976593605987,0.13056729084032356,0.4744329207092673,,18446744073709419684,0.39804354570837525,177325,183785,51853,35387,0.3482534885406494,0.0010724067687988281,0.3471810817718506,87240.0,,,,,219172.0,
sklearn_dbscan,skimage_canny,0.6180461692873871,0.007827054894838596,0.007657038055937643,0.0077411130747168065,0.0038855959561881607,0.007741113074716357,0.0038855959561879343,0.6180461692873871,,1895,0.9782783127004839,276433,84677,86572,668,0.3482534885406494,0.019301414489746094,0.3289520740509033,87240.0,,,,,,85345.0
sklearn_meanshift,sklearn_kmeans,0.472583918813427,0.9939532396374758,0.47394650841831426,0.641843106903169,0.472583918813427,0.6418431069031593,0.47258391881341644,0.472583918813427,213172.0,233889,0.476829783854989,0,1289,235178,211883,15.477952718734741,0.18786382675170898,15.290088891983032,,447061.0,,,,,
sklearn_meanshift,sklearn_dbscan,0.19174082747853238,0.9853163686382393,0.19227577444688757,0.32176245225069766,0.1917264052888197,0.3217624522506916,0.1917264052888154,0.19174082747853238,,359821,0.19514115523384515,8,1281,361102,85959,15.477952718734741,0.3482534885406494,15.129699230194092,87240.0,447061.0,,,,,
sklearn_meanshift,sklearn_meanshift,1.0,1.0,1.0,1.0,1.0,0.9999999999999888,0.9999999999999776,1.0,,0,0.9999999999999776,1289,0,0,447061,15.477952718734741,15.477952718734741,0.0,,447061.0,,,,,
sklearn_meanshift,skimage_felzenszwalb,0.8439901862384298,0.9966051431159992,0.8464236424112146,0.9153955292572268,0.8439901862384298,0.9153955292572157,0.8439901862384109,0.8439901862384298,,67369,0.8493069178478809,0,1289,68658,378403,15.477952718734741,0.30322766304016113,15.17472505569458,,447061.0,379692.0,,,,
sklearn_meanshift,skimage_slic,0.9278086316493811,0.9969108878621139,0.9304837594869604,0.9625526272860113,0.9278086316493811,0.9625526272860001,0.9278086316493603,0.9278086316493811,,29789,0.9333670349236248,0,1289,31078,415983,15.477952718734741,0.2459573745727539,15.231995344161987,,447061.0,,417272.0,,,
sklearn_meanshift,skimage_watershed,0.9971205531392885,0.9971250011152052,0.9999955263375692,0.9985582007775218,0.9971205531392885,0.9985582007775106,0.9971205531392663,0.9971205531392885,,18446744073709550329,0.9971294619357954,0,1289,2,447059,15.477952718734741,0.10480260848999023,15.373150110244751,,447061.0,,,448348.0,,
sklearn_meanshift,skimage_threshold_otsu,0.48596632095461134,0.9941187742959867,0.4873674957108761,0.6540744754462778,0.48596632095461134,0.654074475446268,0.4859663209546005,0.48596632095461134,,227889,0.49025077114755056,0,1289,229178,217883,15.477952718734741,0.0010724067687988281,15.476880311965942,,447061.0,,,,219172.0,
sklearn_meanshift,skimage_canny,0.19322850451656073,1.0,0.1909023600806154,0.3206011953283772,0.1909023600806154,0.32060119532837117,0.19090236008061112,0.19322850451656073,,361716,0.19090236008061112,1289,0,361716,85345,15.477952718734741,0.019301414489746094,15.458651304244995,,447061.0,,,,,85345.0
skimage_felzenszwalb,sklearn_kmeans,0.3227656964425114,0.6783864672658698,0.38086923085026814,0.48784544178766126,0.3226161235557757,0.487845441787653,0.32261612355576846,0.3227656964425114,213172.0,166520,0.5614340044035544,99,68559,235079,144613,0.30322766304016113,0.18786382675170898,0.11536383628845215,,,379692.0,,,,
skimage_felzenszwalb,sklearn_dbscan,0.15193487230957958,0.49691655204034846,0.11417412007627235,0.18568442514113404,0.10234406170248429,0.18568442514113007,0.10234406170248188,0.15193487230957958,,292452,0.22976517809171038,24769,43889,336341,43351,0.30322766304016113,0.3482534885406494,0.04502582550048828,87240.0,,379692.0,,,,
skimage_felzenszwalb,sklearn_meanshift,0.8439901862384298,0.8464236424112146,0.9966051431159992,0.9153955292572268,0.8439901862384298,0.9153955292572157,0.8439901862384109,0.8439901862384298,,18446744073709484247,0.8493069178478809,0,68658,1289,378403,0.30322766304016113,15.477952718734741,15.17472505569458,,447061.0,379692.0,,,,
skimage_felzenszwalb,skimage_felzenszwalb,1.0,1.0,1.0,1.0,1.0,0.9999999999999868,0.9999999999999736,1.0,,0,0.9999999999999736,68658,0,0,379692,0.30322766304016113,0.30322766304016113,0.0,,,379692.0,,,,
skimage_felzenszwalb,skimage_slic,0.7775487900078064,0.8354598439387259,0.918149447446878,0.8748550750096616,0.7775487900078064,0.8748550750096507,0.7775487900077891,0.7775487900078064,,18446744073709514036,0.9099388408519884,0,68658,31078,348614,0.30322766304016113,0.2459573745727539,0.05727028846740723,,,379692.0,417272.0,,,
skimage_felzenszwalb,skimage_watershed,0.8468607114977138,0.8468644891914316,0.9999947325727169,0.9170813004202696,0.8468607114977138,0.9170813004202585,0.8468607114976949,0.8468607114977138,,18446744073709482960,0.8468689500120253,0,68658,2,379690,0.30322766304016113,0.10480260848999023,0.1984250545501709,,,379692.0,,448348.0,,
skimage_felzenszwalb,skimage_threshold_otsu,0.6415166722426675,0.9995300494588725,0.5769650137479853,0.7316151914291058,0.5768085414499927,0.7316151914290936,0.5768085414499775,0.6415166722426675,,160520,0.577236286253053,68555,103,160623,219069,0.30322766304016113,0.0010724067687988281,0.3021552562713623,,,379692.0,,,219172.0,
skimage_felzenszwalb,skimage_canny,0.34078510092561615,0.9928994082840237,0.2231782602741169,0.36443981876710885,0.2228226285702265,0.364439818767101,0.22282262857022064,0.34078510092561615,,294347,0.2247742907409104,68052,606,294953,84739,0.30322766304016113,0.019301414489746094,0.28392624855041504,,,379692.0,,,,85345.0
skimage_slic,sklearn_kmeans,0.5410103713616594,0.9960407558215901,0.5088479457044806,0.6735824276224375,0.5078207961426973,0.6735824276224268,0.507820796142685,0.5410103713616594,213172.0,204100,0.5108706071818739,30234,844,204944,212328,0.2459573745727539,0.18786382675170898,0.05809354782104492,,,,417272.0,,,
skimage_slic,sklearn_dbscan,0.2636288613806178,0.9993122420907841,0.20892846872064266,0.34560129392363315,0.2088984309854025,0.34560129392362626,0.2088984309853975,0.2636288613806178,,330032,0.20907225982092714,31018,60,330092,87180,0.2459573745727539,0.3482534885406494,0.10229611396789551,87240.0,,,417272.0,,,
skimage_slic,sklearn_meanshift,0.9278086316493811,0.9304837594869604,0.9969108878621139,0.9625526272860113,0.9278086316493811,0.9625526272860001,0.9278086316493603,0.9278086316493811,,18446744073709521827,0.9333670349236248,0,31078,1289,415983,0.2459573745727539,15.477952718734741,15.231995344161987,,447061.0,,417272.0,,,
skimage_slic,skimage_felzenszwalb,0.7775487900078064,0.918149447446878,0.8354598439387259,0.8748550750096616,0.7775487900078064,0.8748550750096507,0.7775487900077891,0.7775487900078064,,37580,0.9099388408519884,0,31078,68658,348614,0.2459573745727539,0.30322766304016113,0.05727028846740723,,,379692.0,417272.0,,,
skimage_slic,skimage_slic,1.0,1.0,1.0,1.0,1.0,0.999999999999988,0.999999999999976,1.0,,0,0.999999999999976,31078,0,0,417272,0.2459573745727539,0.2459573745727539,0.0,,,,417272.0,,,
skimage_slic,skimage_watershed,0.9306791569086651,0.9306833085014319,0.9999952069633237,0.9640950994662785,0.9306791569086651,0.9640950994662674,0.9306791569086443,0.9306791569086651,,18446744073709520540,0.9306877693220237,0,31078,2,417270,0.2459573745727539,0.10480260848999023,0.14115476608276367,,,,417272.0,448348.0,,
skimage_slic,skimage_threshold_otsu,0.5125593844095016,0.9533608307630537,0.5007525067581817,0.6566170786432114,0.4887787898777527,0.6566170786432011,0.4887787898777412,0.5125593844095016,,198100,0.5252497172108235,20856,10222,208322,208950,0.2459573745727539,0.0010724067687988281,0.24488496780395508,,,,417272.0,,219172.0,
skimage_slic,skimage_canny,0.21549905207984835,0.8839768000468686,0.1808005329856784,0.3002007492782775,0.1766095314789758,0.3002007492782715,0.17660953147897165,0.21549905207984835,,331927,0.2045308575701172,21176,9902,341829,75443,0.2459573745727539,0.019301414489746094,0.2266559600830078,,,,417272.0,,,85345.0
skimage_watershed,sklearn_kmeans,0.47545444407271104,0.9999906179047905,0.4754565649896955,0.6444854275003024,0.47545444407271104,0.6444854275002926,0.47545444407270043,0.47545444407271104,213172.0,235176,0.4754610258102974,0,2,235178,213170,0.10480260848999023,0.18786382675170898,0.08306121826171875,,,,,448348.0,,
skimage_watershed,sklearn_dbscan,0.19458458793353406,1.0,0.19458099511986224,0.3257727955069942,0.19458099511986224,0.32577279550698807,0.1945809951198579,0.19458458793353406,,361108,0.1945809951198579,2,0,361108,87240,0.10480260848999023,0.3482534885406494,0.24345088005065918,87240.0,,,,448348.0,,
skimage_watershed,sklearn_meanshift,0.9971205531392885,0.9999955263375692,0.9971250011152052,0.9985582007775218,0.9971205531392885,0.9985582007775106,0.9971205531392663,0.9971205531392885,,1287,0.9971294619357954,0,2,1289,447059,0.10480260848999023,15.477952718734741,15.373150110244751,,447061.0,,,448348.0,,
skimage_watershed,skimage_felzenszwalb,0.8468607114977138,0.9999947325727169,0.8468644891914316,0.9170813004202696,0.8468607114977138,0.9170813004202585,0.8468607114976949,0.8468607114977138,,68656,0.8468689500120253,0,2,68658,379690,0.10480260848999023,0.30322766304016113,0.1984250545501709,,,379692.0,,448348.0,,
skimage_watershed,skimage_slic,0.9306791569086651,0.9999952069633237,0.9306833085014319,0.9640950994662785,0.9306791569086651,0.9640950994662674,0.9306791569086443,0.9306791569086651,,31076,0.9306877693220237,0,2,31078,417270,0.10480260848999023,0.2459573745727539,0.14115476608276367,,,,417272.0,448348.0,,
skimage_watershed,skimage_watershed,1.0,1.0,1.0,1.0,1.0,0.9999999999999888,0.9999999999999777,1.0,,0,0.9999999999999777,2,0,0,448348,0.10480260848999023,0.10480260848999023,0.0,,,,,448348.0,,
skimage_watershed,skimage_threshold_otsu,0.4888368462138954,0.9999908747467742,0.4888390268273752,0.6566694630872483,0.4888368462138954,0.6566694630872385,0.48883684621388446,0.4888368462138954,,229176,0.4888434876479768,0,2,229178,219170,0.10480260848999023,0.0010724067687988281,0.1037302017211914,,,,,448348.0,219172.0,
skimage_watershed,skimage_canny,0.19035797925727668,1.0,0.19035436758946175,0.3198280659480263,0.19035436758946175,0.3198280659480203,0.1903543675894575,0.19035797925727668,,363003,0.1903543675894575,2,0,363003,85345,0.10480260848999023,0.019301414489746094,0.08550119400024414,,,,,448348.0,,85345.0
skimage_threshold_otsu,sklearn_kmeans,0.3895081967213115,0.37207044077083296,0.36188472980125197,0.3669069074625761,0.22466992796625773,0.3669069074625676,0.22466992796625135,0.3895081967213115,213172.0,6000,0.9726242403226245,95321,133857,139857,79315,0.0010724067687988281,0.18786382675170898,0.18679141998291016,,,,,,219172.0,
skimage_threshold_otsu,sklearn_dbscan,0.4744329207092673,0.4056281522237506,0.16145766795028563,0.23097659360599454,0.1305672908403284,0.230976593605987,0.13056729084032356,0.4744329207092673,,131932,0.39804354570837525,177325,51853,183785,35387,0.0010724067687988281,0.3482534885406494,0.3471810817718506,87240.0,,,,,219172.0,
skimage_threshold_otsu,sklearn_meanshift,0.48596632095461134,0.4873674957108761,0.9941187742959867,0.6540744754462778,0.48596632095461134,0.654074475446268,0.4859663209546005,0.48596632095461134,,18446744073709323727,0.49025077114755056,0,229178,1289,217883,0.0010724067687988281,15.477952718734741,15.476880311965942,,447061.0,,,,219172.0,
skimage_threshold_otsu,skimage_felzenszwalb,0.6415166722426675,0.5769650137479853,0.9995300494588725,0.7316151914291058,0.5768085414499927,0.7316151914290936,0.5768085414499775,0.6415166722426675,,18446744073709391096,0.577236286253053,68555,160623,103,219069,0.0010724067687988281,0.30322766304016113,0.3021552562713623,,,379692.0,,,219172.0,
skimage_threshold_otsu,skimage_slic,0.5125593844095016,0.5007525067581817,0.9533608307630537,0.6566170786432114,0.4887787898777527,0.6566170786432011,0.4887787898777412,0.5125593844095016,,18446744073709353516,0.5252497172108235,20856,208322,10222,208950,0.0010724067687988281,0.2459573745727539,0.24488496780395508,,,,417272.0,,219172.0,
skimage_threshold_otsu,skimage_watershed,0.4888368462138954,0.4888390268273752,0.9999908747467742,0.6566694630872483,0.4888368462138954,0.6566694630872385,0.48883684621388446,0.4888368462138954,,18446744073709322440,0.4888434876479768,0,229178,2,219170,0.0010724067687988281,0.10480260848999023,0.1037302017211914,,,,,448348.0,219172.0,
skimage_threshold_otsu,skimage_threshold_otsu,1.0,1.0,1.0,1.0,1.0,0.9999999999999771,0.9999999999999544,1.0,,0,0.9999999999999544,229178,0,0,219172,0.0010724067687988281,0.0010724067687988281,0.0,,,,,,219172.0,
skimage_threshold_otsu,skimage_canny,0.5057544329207093,0.48580467514207043,0.18917106199697042,0.2723066364111035,0.15761282768688037,0.27230663641109454,0.15761282768687437,0.5057544329207093,,133827,0.38939736827695187,185294,43884,177711,41461,0.0010724067687988281,0.019301414489746094,0.018229007720947266,,,,,,219172.0,85345.0
skimage_canny,sklearn_kmeans,0.3952202520352403,0.06418291332820446,0.16031401956763724,0.09166647125624336,0.04803482718064844,0.09166647125624029,0.04803482718064676,0.3952202520352403,213172.0,18446744073709423789,0.40035745782746324,163515,199490,71663,13682,0.019301414489746094,0.18786382675170898,0.1685624122619629,,,,,,,85345.0
skimage_canny,sklearn_dbscan,0.6180461692873871,0.007657038055937643,0.007827054894838596,0.0077411130747168065,0.0038855959561881607,0.007741113074716357,0.0038855959561879343,0.6180461692873871,,18446744073709549721,0.9782783127004839,276433,86572,84677,668,0.019301414489746094,0.3482534885406494,0.3289520740509033,87240.0,,,,,,85345.0
skimage_canny,sklearn_meanshift,0.19322850451656073,0.1909023600806154,1.0,0.3206011953283772,0.1909023600806154,0.32060119532837117,0.19090236008061112,0.19322850451656073,,18446744073709189900,0.19090236008061112,1289,361716,0,85345,0.019301414489746094,15.477952718734741,15.458651304244995,,447061.0,,,,,85345.0
skimage_canny,skimage_felzenszwalb,0.34078510092561615,0.2231782602741169,0.9928994082840237,0.36443981876710885,0.2228226285702265,0.364439818767101,0.22282262857022064,0.34078510092561615,,18446744073709257269,0.2247742907409104,68052,294953,606,84739,0.019301414489746094,0.30322766304016113,0.28392624855041504,,,379692.0,,,,85345.0
skimage_canny,skimage_slic,0.21549905207984835,0.1808005329856784,0.8839768000468686,0.3002007492782775,0.1766095314789758,0.3002007492782715,0.17660953147897165,0.21549905207984835,,18446744073709219689,0.2045308575701172,21176,341829,9902,75443,0.019301414489746094,0.2459573745727539,0.2266559600830078,,,,417272.0,,,85345.0
