method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.010047197341918945,555694,68.38940414303718,"(1104, 736, 3)"
Adaptive_Threshold_CV2,0.01271510124206543,577963,71.13005572621299,"(1104, 736, 3)"
Otsu_CV2,0.011181116104125977,588616,72.4411231884058,"(1104, 736, 3)"
Region_Growing_CV2,0.12057256698608398,46621,5.737658514492754,"(1104, 736, 3)"
Split_and_Merge_CV2,2.4980030059814453,181106,22.28876220856963,"(1104, 736, 3)"
Sobel_CV2,0.011598587036132812,122587,15.086813760239446,"(1104, 736, 3)"
Canny_CV2,0.007040500640869141,106510,13.108213216761186,"(1104, 736, 3)"
KMeans_CV2,0.23372864723205566,384408,47.309191871455575,"(1104, 736, 3)"
Active_Contour_CV2,0.34853172302246094,91090,11.210469833018273,"(1104, 736, 3)"
GVF_Contour_CV2,0.676537036895752,3,0.000369210775047259,"(1104, 736, 3)"
Watershed_CV2,0.020578861236572266,66417,8.173957348771268,"(1104, 736, 3)"
GrabCut_CV2,3.7520558834075928,95244,11.721703686200378,"(1104, 736, 3)"
FloodFill_CV2,0.021968841552734375,43403,5.341618423125394,"(1104, 736, 3)"
Morphological_Snakes_CV2,1.9345974922180176,812541,99.99963078922495,"(1104, 736, 3)"
Slic_CV2,0.44013285636901855,750485,92.36238283711405,"(1104, 736, 3)"
Felzenszwalb_CV2,0.6872727870941162,733896,90.32077032136105,"(1104, 736, 3)"
Chan_Vese_CV2,0.0970754623413086,812544,100.0,"(1104, 736, 3)"
Threshold_Niblack_CV2,0.01805424690246582,250590,30.840176039697543,"(1104, 736, 3)"
Threshold_Sauvola_CV2,0.02213883399963379,672179,82.7252431868305,"(1104, 736, 3)"
Random_Walker_CV2,9.128480911254883,718896,88.47471644612477,"(1104, 736, 3)"
Global_Threshold_Torch,0.06446361541748047,555694,68.38940414303718,"(1104, 736, 3)"
Adaptive_Threshold_Torch,0.027533531188964844,574029,70.64589732986768,"(1104, 736, 3)"
Otsu_Torch,0.027064800262451172,589849,72.59286881695022,"(1104, 736, 3)"
Split_and_Merge_Torch,0.02234363555908203,12696,1.5625,"(1104, 736, 3)"
Sobel_Torch,0.024062633514404297,207264,25.508034026465026,"(1104, 736, 3)"
Canny_Torch,0.024087905883789062,236013,29.046180883742913,"(1104, 736, 3)"
KMeans_Torch,0.03145575523376465,384390,47.30697660680529,"(1104, 736, 3)"
Watershed_Torch,1190.979719877243,754209,92.82069647920605,"(1104, 736, 3)"
Grabcut_Torch,31.07477045059204,386300,47.54204080025205,"(1104, 736, 3)"
FloodFill_Torch,33.14859747886658,170151,20.94052752835539,"(1104, 736, 3)"
Neural_SegFormer,0.5124244689941406,812544,100.0,"(1104, 736, 3)"
