Method,Mean_Time_s,Std_Time_s,Time_String,Mask_Area,Mask_Percentage,Min_Time_s,Max_Time_s,Num_Runs
Canny_CV2,0.0011334419250488281,5.269050598144531e-05,0.001 ± 0.000,8844,6.824074074074074,0.0010807514190673828,0.0011861324310302734,2
Active_Contour_CV2,0.0012832880020141602,5.066394805908203e-05,0.001 ± 0.000,0,0.0,0.0012326240539550781,0.0013339519500732422,2
Otsu_CV2,0.0014241933822631836,4.7326087951660156e-05,0.001 ± 0.000,62730,48.40277777777778,0.0013768672943115234,0.0014715194702148438,2
Global_Threshold_CV2,0.0016641616821289062,2.0503997802734375e-05,0.002 ± 0.000,80923,62.44058641975309,0.0016436576843261719,0.0016846656799316406,2
Sobel_CV2,0.0017254352569580078,8.606910705566406e-05,0.002 ± 0.000,23454,18.09722222222222,0.0016393661499023438,0.0018115043640136719,2
Adaptive_Threshold_CV2,0.002230525016784668,5.543231964111328e-05,0.002 ± 0.000,105337,81.27854938271605,0.0021750926971435547,0.0022859573364257812,2
Watershed_CV2,0.0043402910232543945,3.898143768310547e-05,0.004 ± 0.000,46932,36.21296296296296,0.004301309585571289,0.0043792724609375,2
Canny_Torch,0.004560947418212891,0.00012063980102539062,0.005 ± 0.000,18361,14.167438271604937,0.0044403076171875,0.004681587219238281,2
Sobel_Torch,0.004561305046081543,0.0001951456069946289,0.005 ± 0.000,37784,29.15432098765432,0.004366159439086914,0.004756450653076172,2
Otsu_Torch,0.005069375038146973,0.00015819072723388672,0.005 ± 0.000,62467,48.19984567901234,0.004911184310913086,0.005227565765380859,2
Global_Threshold_Torch,0.00519871711730957,0.00016617774963378906,0.005 ± 0.000,79744,61.53086419753087,0.005032539367675781,0.005364894866943359,2
Adaptive_Threshold_Torch,0.005957365036010742,5.8650970458984375e-05,0.006 ± 0.000,129600,100.0,0.005898714065551758,0.0060160160064697266,2
GVF_Contour_CV2,0.010250091552734375,0.0008714199066162109,0.010 ± 0.001,8309,6.411265432098766,0.009378671646118164,0.011121511459350586,2
KMeans_Torch,0.012905716896057129,0.00014269351959228516,0.013 ± 0.000,69688,53.7716049382716,0.012763023376464844,0.013048410415649414,2
Region_Growing_CV2,0.05964052677154541,0.00018393993377685547,0.060 ± 0.000,52564,40.55864197530864,0.059456586837768555,0.059824466705322266,2
Neural_SegFormer,0.07360231876373291,0.0002835988998413086,0.074 ± 0.000,129600,100.0,0.0733187198638916,0.07388591766357422,2
KMeans_CV2,0.15364766120910645,0.0012989044189453125,0.154 ± 0.001,69744,53.81481481481482,0.15234875679016113,0.15494656562805176,2
Split_and_Merge_CV2,0.2644355297088623,0.006119728088378906,0.264 ± 0.006,26552,20.487654320987655,0.2583158016204834,0.2705552577972412,2
Meanshift_Torch,46.86333656311035,0.13445782661437988,46.863 ± 0.134,63612,49.083333333333336,46.72887873649597,46.99779438972473,2
