Method,Mean_Time_s,Std_Time_s,Time_String,Mask_Area,Mask_Percentage,Min_Time_s,Max_Time_s,Num_Runs
Active_Contour_CV2,0.0027600526809692383,8.165836334228516e-05,0.003 ± 0.000,0,0.0,0.002678394317626953,0.0028417110443115234,2
Canny_CV2,0.0054204463958740234,0.00011110305786132812,0.005 ± 0.000,102206,22.79602988736478,0.005309343338012695,0.0055315494537353516,2
Global_Threshold_CV2,0.006065726280212402,0.00014340877532958984,0.006 ± 0.000,255956,57.08843537414966,0.0059223175048828125,0.006209135055541992,2
Otsu_CV2,0.006347537040710449,0.0001519918441772461,0.006 ± 0.000,292930,65.33511765361882,0.006195545196533203,0.006499528884887695,2
Adaptive_Threshold_CV2,0.007550239562988281,0.0001544952392578125,0.008 ± 0.000,281766,62.845098695215796,0.007395744323730469,0.007704734802246094,2
Sobel_CV2,0.008308649063110352,3.647804260253906e-05,0.008 ± 0.000,236374,52.720865395338464,0.008272171020507812,0.00834512710571289,2
Watershed_CV2,0.011358380317687988,0.0002938508987426758,0.011 ± 0.000,112201,25.025315044050405,0.011064529418945312,0.011652231216430664,2
Global_Threshold_Torch,0.011848807334899902,0.00028145313262939453,0.012 ± 0.000,173659,38.73290955726553,0.011567354202270508,0.012130260467529297,2
Canny_Torch,0.01253056526184082,8.082389831542969e-05,0.013 ± 0.000,173023,38.59105609456898,0.01244974136352539,0.01261138916015625,2
Otsu_Torch,0.013014793395996094,0.00029015541076660156,0.013 ± 0.000,271867,60.637225381956064,0.012724637985229492,0.013304948806762695,2
Sobel_Torch,0.013603568077087402,0.0004972219467163086,0.014 ± 0.000,295897,65.9968774395004,0.013106346130371094,0.014100790023803711,2
Adaptive_Threshold_Torch,0.015024185180664062,0.00037741661071777344,0.015 ± 0.000,448350,100.0,0.014646768569946289,0.015401601791381836,2
KMeans_Torch,0.01678156852722168,0.0002453327178955078,0.017 ± 0.000,213790,47.683729229396675,0.016536235809326172,0.017026901245117188,2
GVF_Contour_CV2,0.033472657203674316,0.0003401041030883789,0.033 ± 0.000,50183,11.192818110850897,0.03313255310058594,0.033812761306762695,2
Region_Growing_CV2,0.12066292762756348,0.0004963874816894531,0.121 ± 0.000,102206,22.79602988736478,0.12016654014587402,0.12115931510925293,2
KMeans_CV2,0.18899166584014893,0.004116415977478027,0.189 ± 0.004,213172,47.545890487342476,0.1848752498626709,0.19310808181762695,2
Neural_SegFormer,0.23836767673492432,0.0020865201950073242,0.238 ± 0.002,448350,100.0,0.236281156539917,0.24045419692993164,2
Split_and_Merge_CV2,1.3609145879745483,0.10185110569000244,1.361 ± 0.102,95668,21.337794134047062,1.259063482284546,1.4627656936645508,2
Meanshift_Torch,240.9780513048172,0.5207318067550659,240.978 ± 0.521,402341,89.73815099810416,240.45731949806213,241.49878311157227,2
