Method,Mean_Time_s,Std_Time_s,Time_String,Mask_Area,Mask_Percentage,Min_Time_s,Max_Time_s,Num_Runs
Active_Contour_CV2,0.005281567573547363,0.0005136728286743164,0.005 ± 0.001,0,0.0,0.004767894744873047,0.00579524040222168,2
Canny_CV2,0.0070056915283203125,0.0001881122589111328,0.007 ± 0.000,106510,13.108213216761186,0.00681757926940918,0.007193803787231445,2
Global_Threshold_CV2,0.010423898696899414,0.00012111663818359375,0.010 ± 0.000,555694,68.38940414303718,0.01030278205871582,0.010545015335083008,2
Otsu_CV2,0.011081576347351074,0.0002886056900024414,0.011 ± 0.000,588616,72.4411231884058,0.010792970657348633,0.011370182037353516,2
Adaptive_Threshold_CV2,0.012808918952941895,0.00017535686492919922,0.013 ± 0.000,577963,71.13005572621299,0.012633562088012695,0.012984275817871094,2
Sobel_CV2,0.012942075729370117,0.0001220703125,0.013 ± 0.000,303447,37.345300685255204,0.012820005416870117,0.013064146041870117,2
Watershed_CV2,0.019637227058410645,0.0005959272384643555,0.020 ± 0.001,36113,4.444436239760555,0.01904129981994629,0.020233154296875,2
Canny_Torch,0.019744396209716797,2.1457672119140625e-05,0.020 ± 0.000,235134,28.938002126654066,0.019722938537597656,0.019765853881835938,2
Sobel_Torch,0.021339774131774902,0.0004583597183227539,0.021 ± 0.000,407255,50.12097806395715,0.02088141441345215,0.021798133850097656,2
Otsu_Torch,0.02317345142364502,0.0001074075698852539,0.023 ± 0.000,580053,71.38727256616258,0.023066043853759766,0.023280858993530273,2
Adaptive_Threshold_Torch,0.02641916275024414,0.00029659271240234375,0.026 ± 0.000,812544,100.0,0.026122570037841797,0.026715755462646484,2
KMeans_Torch,0.028669357299804688,4.124641418457031e-05,0.029 ± 0.000,397355,48.902582506301194,0.028628110885620117,0.028710603713989258,2
Global_Threshold_Torch,0.030715346336364746,0.0025244951248168945,0.031 ± 0.003,540378,66.50446006616258,0.02819085121154785,0.03323984146118164,2
Region_Growing_CV2,0.05710124969482422,0.0007793903350830078,0.057 ± 0.001,47732,5.874389571518589,0.05632185935974121,0.05788064002990723,2
GVF_Contour_CV2,0.06490707397460938,0.0010724067687988281,0.065 ± 0.001,80655,9.926231687145558,0.06383466720581055,0.0659794807434082,2
KMeans_CV2,0.2539520263671875,0.0033888816833496094,0.254 ± 0.003,384408,47.309191871455575,0.2505631446838379,0.2573409080505371,2
Neural_SegFormer,0.5170137882232666,0.0006709098815917969,0.517 ± 0.001,812544,100.0,0.5163428783416748,0.5176846981048584,2
Split_and_Merge_CV2,2.63753879070282,0.01968061923980713,2.638 ± 0.020,181106,22.28876220856963,2.6178581714630127,2.657219409942627,2
Meanshift_Torch,543.8867738246918,2.1382858753204346,543.887 ± 2.138,707748,87.10272920604915,541.7484879493713,546.0250597000122,2
