method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.0016052722930908203,68005,52.472993827160494,"(270, 480, 3)"
Adaptive_Threshold_CV2,0.0021843910217285156,96432,74.4074074074074,"(270, 480, 3)"
Otsu_CV2,0.0014901161193847656,58652,45.25617283950617,"(270, 480, 3)"
Region_Growing_CV2,0.09629678726196289,38737,29.889660493827158,"(270, 480, 3)"
Split_and_Merge_CV2,0.30188655853271484,30211,23.31095679012346,"(270, 480, 3)"
Sobel_CV2,0.0018613338470458984,13699,10.570216049382717,"(270, 480, 3)"
Canny_CV2,0.0013401508331298828,11924,9.200617283950617,"(270, 480, 3)"
KMeans_CV2,0.1552262306213379,73836,56.97222222222222,"(270, 480, 3)"
Active_Contour_CV2,0.08997821807861328,10147,7.8294753086419755,"(270, 480, 3)"
GVF_Contour_CV2,0.08668041229248047,8,0.00617283950617284,"(270, 480, 3)"
Watershed_CV2,0.004415035247802734,11826,9.125,"(270, 480, 3)"
GrabCut_CV2,0.4233856201171875,6951,5.363425925925926,"(270, 480, 3)"
FloodFill_CV2,0.0036966800689697266,33467,25.8233024691358,"(270, 480, 3)"
Morphological_Snakes_CV2,0.30336618423461914,129576,99.98148148148148,"(270, 480, 3)"
Slic_CV2,0.0650639533996582,126817,97.85262345679013,"(270, 480, 3)"
Felzenszwalb_CV2,0.08560013771057129,117702,90.81944444444444,"(270, 480, 3)"
Chan_Vese_CV2,0.012117147445678711,129600,100.0,"(270, 480, 3)"
Threshold_Niblack_CV2,0.0016562938690185547,11255,8.684413580246913,"(270, 480, 3)"
Threshold_Sauvola_CV2,0.0020668506622314453,47821,36.89891975308642,"(270, 480, 3)"
Random_Walker_CV2,12.698388814926147,116230,89.68364197530863,"(270, 480, 3)"
Global_Threshold_Torch,0.08622193336486816,68005,52.472993827160494,"(270, 480, 3)"
Adaptive_Threshold_Torch,0.028104066848754883,96957,74.8125,"(270, 480, 3)"
Otsu_Torch,0.008046388626098633,58771,45.347993827160494,"(270, 480, 3)"
Split_and_Merge_Torch,0.007000923156738281,8040,6.203703703703703,"(270, 480, 3)"
Sobel_Torch,0.0075151920318603516,20457,15.784722222222221,"(270, 480, 3)"
Canny_Torch,0.006921052932739258,24164,18.645061728395063,"(270, 480, 3)"
KMeans_Torch,0.03024601936340332,73837,56.97299382716049,"(270, 480, 3)"
Watershed_Torch,693.2362658977509,120563,93.0270061728395,"(270, 480, 3)"
Grabcut_Torch,0.026026487350463867,69692,53.7746913580247,"(270, 480, 3)"
FloodFill_Torch,49.05486226081848,35559,27.437499999999996,"(270, 480, 3)"
Neural_SegFormer,0.06834149360656738,128681,99.29089506172839,"(270, 480, 3)"
