method,accuracy,precision,recall,f1_score,jaccard
sklearn_meanshift,0.9229736328125,0.9253653649079979,0.9972074849251665,0.9599441376245794,0.9229736328125
skimage_quickshift,0.9219791666666667,0.925290876689192,0.9961330348554416,0.9594059942550539,0.9219791666666667
skimage_slic,0.87701171875,0.9217599854936851,0.9475488997877477,0.9344765512002747,0.87701171875
skimage_random_walker,0.8098844401041667,0.915820955956785,0.8750226408259373,0.8949570725715,0.8098844401041667
skimage_watershed,0.7989794921875,0.9147699532266179,0.8632406187847635,0.8882585884466834,0.7989794921875
skimage_threshold_sauvola,0.7215755208333333,0.9334685200327064,0.7528395552374605,0.8334799978195014,0.7145012483811101
sklearn_kmeans,0.6315478515625,0.9600296753452716,0.6280626662891731,0.7593497957348284,0.6120579298857134
skimage_threshold_niblack,0.5515250651041667,0.9370750328044852,0.5525592486235257,0.6951900644149281,0.5327902903369659
sklearn_gmm,0.54703125,0.9808016479385865,0.5207935103919193,0.6803366811544929,0.5155380705358076
skimage_chan_vese,0.4677425130208333,0.9556707096307024,0.44560310764020167,0.6078038893519546,0.4365792180449573
skimage_threshold_otsu,0.4117301432291667,0.9675513961337834,0.37706163404336135,0.5426490778526463,0.37235306171355936
sklearn_dbscan,0.3437353515625,0.9527132037474827,0.3061479294415146,0.463388958462814,0.3015655529842163
skimage_canny,0.23642578125,0.8968759720217254,0.19774980964121106,0.32405056725346737,0.19335342756876372
skimage_active_contour,0.2492333984375,0.975143792584727,0.19378964342677474,0.32332511336080494,0.19283709438082705
skimage_sobel,0.20821940104166667,0.9139078850627965,0.15956902418479837,0.2716991640117853,0.15720594375367067
