method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.00168609619140625,80923,62.44058641975309,"(270, 480, 3)"
Adaptive_Threshold_CV2,0.002202272415161133,105337,81.27854938271605,"(270, 480, 3)"
Otsu_CV2,0.0014653205871582031,62730,48.40277777777778,"(270, 480, 3)"
Region_Growing_CV2,0.12147808074951172,48101,37.11496913580247,"(270, 480, 3)"
Split_and_Merge_CV2,0.2398073673248291,26552,20.487654320987655,"(270, 480, 3)"
Sobel_CV2,0.0018324851989746094,8838,6.819444444444445,"(270, 480, 3)"
Canny_CV2,0.0012030601501464844,8844,6.824074074074074,"(270, 480, 3)"
KMeans_CV2,0.15542984008789062,69744,53.81481481481482,"(270, 480, 3)"
Active_Contour_CV2,0.05228161811828613,8799,6.789351851851852,"(270, 480, 3)"
GVF_Contour_CV2,0.09638190269470215,7,0.005401234567901235,"(270, 480, 3)"
Watershed_CV2,0.004457712173461914,47073,36.32175925925926,"(270, 480, 3)"
GrabCut_CV2,0.4220564365386963,9396,7.249999999999999,"(270, 480, 3)"
FloodFill_CV2,0.003520965576171875,44559,34.38194444444444,"(270, 480, 3)"
Morphological_Snakes_CV2,0.310957670211792,129600,100.0,"(270, 480, 3)"
Slic_CV2,0.06357455253601074,124199,95.83256172839506,"(270, 480, 3)"
Felzenszwalb_CV2,0.08237624168395996,106376,82.08024691358024,"(270, 480, 3)"
Chan_Vese_CV2,0.011384010314941406,129600,100.0,"(270, 480, 3)"
Threshold_Niblack_CV2,0.0027723312377929688,28906,22.304012345679013,"(270, 480, 3)"
Threshold_Sauvola_CV2,0.003586292266845703,122462,94.49228395061728,"(270, 480, 3)"
Random_Walker_CV2,0.5550789833068848,114154,88.0817901234568,"(270, 480, 3)"
Global_Threshold_Torch,0.05226635932922363,80923,62.44058641975309,"(270, 480, 3)"
Adaptive_Threshold_Torch,0.05721449851989746,104578,80.6929012345679,"(270, 480, 3)"
Otsu_Torch,0.004716157913208008,62839,48.48688271604939,"(270, 480, 3)"
Split_and_Merge_Torch,0.0037832260131835938,8160,6.296296296296296,"(270, 480, 3)"
Sobel_Torch,0.003964424133300781,14416,11.123456790123457,"(270, 480, 3)"
Canny_Torch,0.004119396209716797,18393,14.19212962962963,"(270, 480, 3)"
KMeans_Torch,0.009994268417358398,69688,53.7716049382716,"(270, 480, 3)"
Watershed_Torch,188.9996781349182,122958,94.875,"(270, 480, 3)"
Grabcut_Torch,0.009439229965209961,64395,49.6875,"(270, 480, 3)"
FloodFill_Torch,8.490306377410889,54738,42.236111111111114,"(270, 480, 3)"
Neural_SegFormer,0.07328248023986816,129600,100.0,"(270, 480, 3)"
