method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.0052449703216552734,161828,46.27676610541728,"(512, 683, 3)"
Adaptive_Threshold_CV2,0.005804777145385742,251792,72.0031112737921,"(512, 683, 3)"
Otsu_CV2,0.004630327224731445,213818,61.14396504392386,"(512, 683, 3)"
Region_Growing_CV2,0.34001731872558594,133247,38.103667185212295,"(512, 683, 3)"
Split_and_Merge_CV2,0.6717948913574219,91120,26.056918008784773,"(512, 683, 3)"
Sobel_CV2,0.004698276519775391,22167,6.338934388726209,"(512, 683, 3)"
Canny_CV2,0.0035004615783691406,47453,13.569786328696926,"(512, 683, 3)"
KMeans_CV2,0.20510649681091309,200186,57.24572199853587,"(512, 683, 3)"
Active_Contour_CV2,0.1789102554321289,49469,14.146287060761347,"(512, 683, 3)"
GVF_Contour_CV2,0.23980426788330078,12,0.0034315519765739386,"(512, 683, 3)"
Watershed_CV2,0.010487794876098633,41927,11.989556643484626,"(512, 683, 3)"
GrabCut_CV2,1.8249635696411133,63937,18.28359489385066,"(512, 683, 3)"
FloodFill_CV2,0.009485244750976562,111891,31.996648517569547,"(512, 683, 3)"
Morphological_Snakes_CV2,0.7991907596588135,349657,99.98884745607613,"(512, 683, 3)"
Slic_CV2,0.18318748474121094,331484,94.79204795021961,"(512, 683, 3)"
Felzenszwalb_CV2,0.2748725414276123,279057,79.7998833272328,"(512, 683, 3)"
Chan_Vese_CV2,0.04464268684387207,349696,100.0,"(512, 683, 3)"
Threshold_Niblack_CV2,0.0042116641998291016,24217,6.925157851390923,"(512, 683, 3)"
Threshold_Sauvola_CV2,0.005839824676513672,149265,42.68421714860908,"(512, 683, 3)"
Random_Walker_CV2,16.595935821533203,311797,89.16230096998537,"(512, 683, 3)"
Global_Threshold_Torch,0.07933378219604492,161828,46.27676610541728,"(512, 683, 3)"
Adaptive_Threshold_Torch,0.016272783279418945,254963,72.90989888360176,"(512, 683, 3)"
Otsu_Torch,0.05623507499694824,215349,61.581773883601755,"(512, 683, 3)"
Split_and_Merge_Torch,0.012701749801635742,21888,6.259150805270863,"(512, 683, 3)"
Sobel_Torch,0.040632009506225586,67636,19.341370790629576,"(512, 683, 3)"
Canny_Torch,0.06488943099975586,73717,21.08030975475842,"(512, 683, 3)"
KMeans_Torch,0.057311058044433594,199104,56.93631039531479,"(512, 683, 3)"
Watershed_Torch,813.4276301860809,319634,91.40339037335285,"(512, 683, 3)"
Grabcut_Torch,0.055322885513305664,160708,45.95648792093704,"(512, 683, 3)"
FloodFill_Torch,173.90661811828613,167625,47.9344916727672,"(512, 683, 3)"
Neural_SegFormer,0.1881556510925293,336273,96.16152315153734,"(512, 683, 3)"
