Method,Time (s),Success,Mask Area,Mask Shape,Error
KMeans,0.04368925094604492,True,384398,"(1104, 736)",
Neural,0.6094391345977783,True,812544,"(1104, 736)",
GrabCut,31.134937286376953,True,386300,"(1104, 736)",
MeanShift,40.709728956222534,True,811590,"(1104, 736)",
FloodFill,162.68687868118286,True,229330,"(1104, 736)",
Watershed,4239.807510375977,True,754209,"(1104, 736)",
