Method,Time (s),Success,Mask Area,Mask Shape,Error
GrabCut,0.015095949172973633,True,160708,"(512, 683)",
KMeans,0.015626192092895508,True,197356,"(512, 683)",
Neural,0.2886087894439697,True,336273,"(512, 683)",
FloodFill,18.350325345993042,True,100171,"(512, 683)",
MeanShift,22.774229049682617,True,348902,"(512, 683)",
Watershed,209.0171024799347,True,319634,"(512, 683)",
