method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.005707502365112305,154823,25.199055989583336,"(960, 640, 3)"
Adaptive_Threshold_CV2,0.009839057922363281,352135,57.313639322916664,"(960, 640, 3)"
Otsu_CV2,0.0067522525787353516,227410,37.013346354166664,"(960, 640, 3)"
Region_Growing_CV2,0.11107277870178223,43141,7.021647135416667,"(960, 640, 3)"
Split_and_Merge_CV2,1.6307885646820068,92555,15.064290364583332,"(960, 640, 3)"
Sobel_CV2,0.009716033935546875,86756,14.120442708333334,"(960, 640, 3)"
Canny_CV2,0.007586479187011719,155561,25.319173177083332,"(960, 640, 3)"
KMeans_CV2,0.23090529441833496,373184,60.739583333333336,"(960, 640, 3)"
Active_Contour_CV2,0.3738858699798584,75955,12.362467447916666,"(960, 640, 3)"
GVF_Contour_CV2,0.464428186416626,26,0.004231770833333334,"(960, 640, 3)"
Watershed_CV2,0.02755594253540039,239990,39.060872395833336,"(960, 640, 3)"
GrabCut_CV2,5.737737417221069,61856,10.067708333333334,"(960, 640, 3)"
FloodFill_CV2,0.017186403274536133,40209,6.54443359375,"(960, 640, 3)"
Morphological_Snakes_CV2,1.509399652481079,614337,99.98974609375,"(960, 640, 3)"
Slic_CV2,0.36470508575439453,580053,94.40966796875,"(960, 640, 3)"
Felzenszwalb_CV2,0.5390822887420654,594792,96.80859375,"(960, 640, 3)"
Chan_Vese_CV2,0.07660222053527832,614400,100.0,"(960, 640, 3)"
Threshold_Niblack_CV2,0.008563041687011719,89431,14.555826822916668,"(960, 640, 3)"
Threshold_Sauvola_CV2,0.011671781539916992,292093,47.541178385416664,"(960, 640, 3)"
Random_Walker_CV2,23.69679093360901,542884,88.36002604166666,"(960, 640, 3)"
Global_Threshold_Torch,0.047464609146118164,154823,25.199055989583336,"(960, 640, 3)"
Adaptive_Threshold_Torch,0.02496170997619629,353562,57.5458984375,"(960, 640, 3)"
Otsu_Torch,0.02229166030883789,229632,37.375,"(960, 640, 3)"
Split_and_Merge_Torch,0.021535873413085938,38400,6.25,"(960, 640, 3)"
Sobel_Torch,0.025922060012817383,249474,40.6044921875,"(960, 640, 3)"
Canny_Torch,0.024324893951416016,261564,42.572265625,"(960, 640, 3)"
KMeans_Torch,0.03517031669616699,374320,60.924479166666664,"(960, 640, 3)"
Watershed_Torch,1728.0394749641418,545472,88.78125,"(960, 640, 3)"
Grabcut_Torch,23.769524335861206,197751,32.18603515625,"(960, 640, 3)"
FloodFill_Torch,310.20516872406006,420085,68.37320963541667,"(960, 640, 3)"
Neural_SegFormer,0.3722560405731201,614400,100.0,"(960, 640, 3)"
