method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.0015468597412109375,68005,52.472993827160494,"(270, 480, 3)"
Adaptive_Threshold_CV2,0.002093791961669922,96432,74.4074074074074,"(270, 480, 3)"
Otsu_CV2,0.0013942718505859375,58652,45.25617283950617,"(270, 480, 3)"
Region_Growing_CV2,0.09606266021728516,38737,29.889660493827158,"(270, 480, 3)"
Split_and_Merge_CV2,0.2947683334350586,30211,23.31095679012346,"(270, 480, 3)"
Sobel_CV2,0.001939535140991211,13699,10.570216049382717,"(270, 480, 3)"
Canny_CV2,0.0012900829315185547,11924,9.200617283950617,"(270, 480, 3)"
KMeans_CV2,0.14553046226501465,73836,56.97222222222222,"(270, 480, 3)"
Active_Contour_CV2,0.036774396896362305,10147,7.8294753086419755,"(270, 480, 3)"
GVF_Contour_CV2,0.08847618103027344,8,0.00617283950617284,"(270, 480, 3)"
Watershed_CV2,0.0044329166412353516,11826,9.125,"(270, 480, 3)"
GrabCut_CV2,0.4274301528930664,6951,5.363425925925926,"(270, 480, 3)"
FloodFill_CV2,0.0036802291870117188,33467,25.8233024691358,"(270, 480, 3)"
Morphological_Snakes_CV2,0.3038482666015625,129576,99.98148148148148,"(270, 480, 3)"
Slic_CV2,0.06450486183166504,126817,97.85262345679013,"(270, 480, 3)"
Felzenszwalb_CV2,0.08462142944335938,117702,90.81944444444444,"(270, 480, 3)"
Chan_Vese_CV2,0.011918306350708008,129600,100.0,"(270, 480, 3)"
Threshold_Niblack_CV2,0.0031766891479492188,39678,30.615740740740744,"(270, 480, 3)"
Threshold_Sauvola_CV2,0.0036923885345458984,113021,87.20756172839506,"(270, 480, 3)"
Random_Walker_CV2,0.5893585681915283,116230,89.68364197530863,"(270, 480, 3)"
Global_Threshold_Torch,0.03553891181945801,68005,52.472993827160494,"(270, 480, 3)"
Adaptive_Threshold_Torch,0.031165599822998047,96957,74.8125,"(270, 480, 3)"
Otsu_Torch,0.025361061096191406,58771,45.347993827160494,"(270, 480, 3)"
Split_and_Merge_Torch,0.003870725631713867,8040,6.203703703703703,"(270, 480, 3)"
Sobel_Torch,0.0048370361328125,20457,15.784722222222221,"(270, 480, 3)"
Canny_Torch,0.004259824752807617,24164,18.645061728395063,"(270, 480, 3)"
KMeans_Torch,0.010100841522216797,73837,56.97299382716049,"(270, 480, 3)"
Watershed_Torch,190.1977686882019,120563,93.0270061728395,"(270, 480, 3)"
Grabcut_Torch,0.010020256042480469,69692,53.7746913580247,"(270, 480, 3)"
FloodFill_Torch,6.744727373123169,35559,27.437499999999996,"(270, 480, 3)"
Neural_SegFormer,0.07361006736755371,128681,99.29089506172839,"(270, 480, 3)"
