method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.005780696868896484,154823,25.199055989583336,"(960, 640, 3)"
Adaptive_Threshold_CV2,0.010024309158325195,352135,57.313639322916664,"(960, 640, 3)"
Otsu_CV2,0.00683903694152832,227410,37.013346354166664,"(960, 640, 3)"
Region_Growing_CV2,0.11134552955627441,43141,7.021647135416667,"(960, 640, 3)"
Split_and_Merge_CV2,1.6303865909576416,92555,15.064290364583332,"(960, 640, 3)"
Sobel_CV2,0.009621620178222656,86756,14.120442708333334,"(960, 640, 3)"
Canny_CV2,0.0075778961181640625,155561,25.319173177083332,"(960, 640, 3)"
KMeans_CV2,0.23586726188659668,373184,60.739583333333336,"(960, 640, 3)"
Active_Contour_CV2,0.3851761817932129,75955,12.362467447916666,"(960, 640, 3)"
GVF_Contour_CV2,0.5119071006774902,26,0.004231770833333334,"(960, 640, 3)"
Watershed_CV2,0.027649641036987305,239990,39.060872395833336,"(960, 640, 3)"
GrabCut_CV2,7.490388870239258,71658,11.6630859375,"(960, 640, 3)"
FloodFill_CV2,0.017138004302978516,40209,6.54443359375,"(960, 640, 3)"
Morphological_Snakes_CV2,1.5134658813476562,614337,99.98974609375,"(960, 640, 3)"
Slic_CV2,0.36725902557373047,580053,94.40966796875,"(960, 640, 3)"
Felzenszwalb_CV2,0.5393986701965332,594792,96.80859375,"(960, 640, 3)"
Chan_Vese_CV2,0.08082962036132812,614400,100.0,"(960, 640, 3)"
Threshold_Niblack_CV2,0.008521318435668945,89431,14.555826822916668,"(960, 640, 3)"
Threshold_Sauvola_CV2,0.011539459228515625,292093,47.541178385416664,"(960, 640, 3)"
Random_Walker_CV2,24.073793649673462,542884,88.36002604166666,"(960, 640, 3)"
Global_Threshold_Torch,0.07447576522827148,154823,25.199055989583336,"(960, 640, 3)"
Adaptive_Threshold_Torch,0.025228023529052734,353562,57.5458984375,"(960, 640, 3)"
Otsu_Torch,0.022539138793945312,229632,37.375,"(960, 640, 3)"
Split_and_Merge_Torch,0.02173614501953125,38400,6.25,"(960, 640, 3)"
Sobel_Torch,0.02304840087890625,249474,40.6044921875,"(960, 640, 3)"
Canny_Torch,0.02240610122680664,261564,42.572265625,"(960, 640, 3)"
KMeans_Torch,0.04084467887878418,306337,49.859537760416664,"(960, 640, 3)"
Watershed_Torch,1732.8740627765656,545472,88.78125,"(960, 640, 3)"
Grabcut_Torch,24.00934910774231,197751,32.18603515625,"(960, 640, 3)"
FloodFill_Torch,288.4239077568054,420085,68.37320963541667,"(960, 640, 3)"
Neural_SegFormer,0.3783104419708252,614400,100.0,"(960, 640, 3)"
