method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.005812644958496094,255956,57.08843537414966,"(610, 735, 3)"
Adaptive_Threshold_CV2,0.007524251937866211,281766,62.845098695215796,"(610, 735, 3)"
Otsu_CV2,0.006277322769165039,292930,65.33511765361882,"(610, 735, 3)"
Region_Growing_CV2,0.2757258415222168,101503,22.639232742277237,"(610, 735, 3)"
Split_and_Merge_CV2,1.2133069038391113,95668,21.337794134047062,"(610, 735, 3)"
Sobel_CV2,0.006928205490112305,50501,11.263744842199175,"(610, 735, 3)"
Canny_CV2,0.005465030670166016,102206,22.79602988736478,"(610, 735, 3)"
KMeans_CV2,0.18178582191467285,213172,47.545890487342476,"(610, 735, 3)"
Active_Contour_CV2,0.1887221336364746,67872,15.13817330210773,"(610, 735, 3)"
GVF_Contour_CV2,0.29670143127441406,5,0.0011152001784320285,"(610, 735, 3)"
Watershed_CV2,0.011986255645751953,114577,25.555258168841306,"(610, 735, 3)"
GrabCut_CV2,2.716358184814453,70974,15.830043492806958,"(610, 735, 3)"
FloodFill_CV2,0.01284933090209961,73528,16.39968774395004,"(610, 735, 3)"
Morphological_Snakes_CV2,1.0212957859039307,448350,100.0,"(610, 735, 3)"
Slic_CV2,0.2538166046142578,432048,96.36400133824021,"(610, 735, 3)"
Felzenszwalb_CV2,0.3627297878265381,410118,91.47273335563733,"(610, 735, 3)"
Chan_Vese_CV2,0.04840993881225586,448350,100.0,"(610, 735, 3)"
Threshold_Niblack_CV2,0.011126279830932617,161513,36.023865283818445,"(610, 735, 3)"
Threshold_Sauvola_CV2,0.013151168823242188,394373,87.96096799375488,"(610, 735, 3)"
Random_Walker_CV2,3.5657684803009033,399450,89.09334225493475,"(610, 735, 3)"
Global_Threshold_Torch,0.05292224884033203,255945,57.08598193375711,"(610, 735, 3)"
Adaptive_Threshold_Torch,0.02625274658203125,281816,62.856250697000114,"(610, 735, 3)"
Otsu_Torch,0.018772125244140625,293568,65.47741719638675,"(610, 735, 3)"
Split_and_Merge_Torch,0.01294851303100586,6992,1.559495929519349,"(610, 735, 3)"
Sobel_Torch,0.015912771224975586,156624,34.93342254934761,"(610, 735, 3)"
Canny_Torch,0.019604921340942383,183816,40.99832719973235,"(610, 735, 3)"
KMeans_Torch,0.027500391006469727,213104,47.5307237649158,"(610, 735, 3)"
Watershed_Torch,335.0185503959656,396964,88.53886472621836,"(610, 735, 3)"
Grabcut_Torch,0.02638554573059082,132376,29.52514776402364,"(610, 735, 3)"
FloodFill_Torch,22.52662992477417,200120,44.634771941563514,"(610, 735, 3)"
Neural_SegFormer,0.2383556365966797,448350,100.0,"(610, 735, 3)"
