Method,Time (s),Success,Mask Area,Mask Shape,Error
KMeans,0.026770591735839844,True,372394,"(960, 640)",
Neural,0.37860703468322754,True,614400,"(960, 640)",
GrabCut,23.33568572998047,True,197751,"(960, 640)",
FloodFill,27.951090812683105,True,248085,"(960, 640)",
MeanShift,38.08933138847351,True,613513,"(960, 640)",
Watershed,465.5618257522583,True,545472,"(960, 640)",
