method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.006567478179931641,161828,46.27676610541728,"(512, 683, 3)"
Adaptive_Threshold_CV2,0.0059773921966552734,251792,72.0031112737921,"(512, 683, 3)"
Otsu_CV2,0.004395246505737305,213818,61.14396504392386,"(512, 683, 3)"
Region_Growing_CV2,0.34383511543273926,133247,38.103667185212295,"(512, 683, 3)"
Split_and_Merge_CV2,0.6752595901489258,91120,26.056918008784773,"(512, 683, 3)"
Sobel_CV2,0.0047914981842041016,22167,6.338934388726209,"(512, 683, 3)"
Canny_CV2,0.0034012794494628906,47453,13.569786328696926,"(512, 683, 3)"
KMeans_CV2,0.19318413734436035,200186,57.24572199853587,"(512, 683, 3)"
Active_Contour_CV2,0.16932129859924316,49469,14.146287060761347,"(512, 683, 3)"
GVF_Contour_CV2,0.22079062461853027,12,0.0034315519765739386,"(512, 683, 3)"
Watershed_CV2,0.010681629180908203,41927,11.989556643484626,"(512, 683, 3)"
GrabCut_CV2,1.7949512004852295,63937,18.28359489385066,"(512, 683, 3)"
FloodFill_CV2,0.009446859359741211,111891,31.996648517569547,"(512, 683, 3)"
Morphological_Snakes_CV2,0.7961456775665283,349657,99.98884745607613,"(512, 683, 3)"
Slic_CV2,0.18250131607055664,331484,94.79204795021961,"(512, 683, 3)"
Felzenszwalb_CV2,0.262042760848999,279057,79.7998833272328,"(512, 683, 3)"
Chan_Vese_CV2,0.045395612716674805,349696,100.0,"(512, 683, 3)"
Threshold_Niblack_CV2,0.008006572723388672,102105,29.1982178806735,"(512, 683, 3)"
Threshold_Sauvola_CV2,0.010039806365966797,316390,90.47572748901904,"(512, 683, 3)"
Random_Walker_CV2,2.527707576751709,311797,89.16230096998537,"(512, 683, 3)"
Global_Threshold_Torch,0.04773974418640137,161828,46.27676610541728,"(512, 683, 3)"
Adaptive_Threshold_Torch,0.0455164909362793,254963,72.90989888360176,"(512, 683, 3)"
Otsu_Torch,0.04226803779602051,215349,61.581773883601755,"(512, 683, 3)"
Split_and_Merge_Torch,0.012562274932861328,21888,6.259150805270863,"(512, 683, 3)"
Sobel_Torch,0.039569854736328125,67636,19.341370790629576,"(512, 683, 3)"
Canny_Torch,0.05973505973815918,73717,21.08030975475842,"(512, 683, 3)"
KMeans_Torch,0.049748897552490234,209017,59.771058290629576,"(512, 683, 3)"
Watershed_Torch,209.1616415977478,319634,91.40339037335285,"(512, 683, 3)"
Grabcut_Torch,0.038545846939086914,160708,45.95648792093704,"(512, 683, 3)"
FloodFill_Torch,24.48425269126892,167625,47.9344916727672,"(512, 683, 3)"
Neural_SegFormer,0.1829054355621338,336273,96.16152315153734,"(512, 683, 3)"
