Method,Time (s),Success,Mask Area,Mask Shape,Error
KMeans,0.015378952026367188,True,201915,"(512, 683)",
GrabCut,0.016302108764648438,True,160708,"(512, 683)",
Neural,0.2911343574523926,True,336273,"(512, 683)",
FloodFill,18.526738166809082,True,100171,"(512, 683)",
MeanShift,22.52815055847168,True,348902,"(512, 683)",
Watershed,206.58750247955322,True,319634,"(512, 683)",
