method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.006295919418334961,154823,25.199055989583336,"(960, 640, 3)"
Adaptive_Threshold_CV2,0.010612964630126953,352135,57.313639322916664,"(960, 640, 3)"
Otsu_CV2,0.0069277286529541016,227410,37.013346354166664,"(960, 640, 3)"
Region_Growing_CV2,0.11112380027770996,43141,7.021647135416667,"(960, 640, 3)"
Split_and_Merge_CV2,1.575141191482544,92555,15.064290364583332,"(960, 640, 3)"
Sobel_CV2,0.009308099746704102,86756,14.120442708333334,"(960, 640, 3)"
Canny_CV2,0.007340192794799805,155561,25.319173177083332,"(960, 640, 3)"
KMeans_CV2,0.2182779312133789,373184,60.739583333333336,"(960, 640, 3)"
Active_Contour_CV2,0.3397805690765381,75955,12.362467447916666,"(960, 640, 3)"
GVF_Contour_CV2,0.449556827545166,26,0.004231770833333334,"(960, 640, 3)"
Watershed_CV2,0.02736830711364746,239990,39.060872395833336,"(960, 640, 3)"
GrabCut_CV2,5.679362058639526,61856,10.067708333333334,"(960, 640, 3)"
FloodFill_CV2,0.01694655418395996,40209,6.54443359375,"(960, 640, 3)"
Morphological_Snakes_CV2,1.4434800148010254,614337,99.98974609375,"(960, 640, 3)"
Slic_CV2,0.3528707027435303,580053,94.40966796875,"(960, 640, 3)"
Felzenszwalb_CV2,0.5078325271606445,594792,96.80859375,"(960, 640, 3)"
Chan_Vese_CV2,0.07129073143005371,614400,100.0,"(960, 640, 3)"
Threshold_Niblack_CV2,0.008621931076049805,89431,14.555826822916668,"(960, 640, 3)"
Threshold_Sauvola_CV2,0.011744499206542969,292093,47.541178385416664,"(960, 640, 3)"
Random_Walker_CV2,6.053629159927368,542884,88.36002604166666,"(960, 640, 3)"
Global_Threshold_Torch,0.03233766555786133,154823,25.199055989583336,"(960, 640, 3)"
Adaptive_Threshold_Torch,0.03197646141052246,353562,57.5458984375,"(960, 640, 3)"
Otsu_Torch,0.019743680953979492,229632,37.375,"(960, 640, 3)"
Split_and_Merge_Torch,0.01714038848876953,38400,6.25,"(960, 640, 3)"
Sobel_Torch,0.022630691528320312,249474,40.6044921875,"(960, 640, 3)"
Canny_Torch,0.026414871215820312,261564,42.572265625,"(960, 640, 3)"
KMeans_Torch,0.03507375717163086,373280,60.755208333333336,"(960, 640, 3)"
Watershed_Torch,463.9563994407654,545472,88.78125,"(960, 640, 3)"
Grabcut_Torch,23.383342027664185,197751,32.18603515625,"(960, 640, 3)"
FloodFill_Torch,44.38576936721802,420085,68.37320963541667,"(960, 640, 3)"
Neural_SegFormer,0.34955477714538574,614400,100.0,"(960, 640, 3)"
