method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,area1,area2,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff
Global_Threshold_CV2,Global_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.9999999999999805,0.999999999999961,1.0,256790,256790,0,1.0,191560,0,0,256790,0.0008442401885986328,0.0008442401885986328,0.0
Global_Threshold_CV2,Adaptive_Threshold_CV2,0.6422460131593621,0.668140064680661,0.745803964328829,0.7048390866148108,0.5442096648613013,0.7048390866147978,0.5442096648612859,0.6422460131593621,256790,286639,29849,0.8958655312082445,96436,95124,65275,191515,0.0008442401885986328,0.0013382434844970703,0.0004940032958984375
Global_Threshold_CV2,Otsu_Thresholding_CV2,0.9151957176313148,0.871029673147633,1.0,0.9310698655914953,0.871029673147633,0.9310698655914784,0.8710296731476035,0.9151957176313148,256790,294812,38022,0.871029673147633,153538,38022,0,256790,0.0008442401885986328,0.0007064342498779297,0.00013780593872070312
Global_Threshold_CV2,Niblack_Thresholding_CV2,0.6810393665662986,0.7269181065428613,0.7097238989057206,0.7182181097366337,0.5603278648203261,0.7182181097366195,0.5603278648203089,0.6810393665662986,256790,250716,6074,0.9763464309357841,123094,68466,74540,182250,0.0008442401885986328,0.002405881881713867,0.0015616416931152344
Global_Threshold_CV2,Sauvola_Thresholding_CV2,0.6941942678710828,0.6533739658195016,0.9927294676583979,0.7880714857625117,0.6502623517017787,0.7880714857624995,0.650262351701762,0.6941942678710828,256790,390164,133374,0.6581591330824986,56319,135241,1867,254923,0.0008442401885986328,0.002440929412841797,0.001596689224243164
Global_Threshold_CV2,Sobel_CV2,0.49047619047619045,0.5976356634540532,0.337828575879123,0.43165392452238727,0.2752287465576974,0.43165392452237655,0.2752287465576887,0.49047619047619045,256790,145157,111633,0.565275127536119,133154,58406,170039,86751,0.0008442401885986328,0.0036461353302001953,0.0028018951416015625
Global_Threshold_CV2,Canny_CV2,0.4900390320062451,0.6238026124818578,0.27616729623427705,0.3828436466698158,0.23673879515819976,0.3828436466698054,0.23673879515819182,0.4900390320062451,256790,113685,143105,0.4427158378441528,148792,42768,185873,70917,0.0008442401885986328,0.0013217926025390625,0.0004775524139404297
Global_Threshold_CV2,Global_Threshold_Sklearn,0.9096933199509312,0.8898706205096593,0.9612952217765489,0.9242050128137689,0.8590902763276954,0.9242050128137516,0.8590902763276654,0.9096933199509312,256790,277401,20611,0.9256996189631617,161010,30550,9939,246851,0.0008442401885986328,0.03206777572631836,0.031223535537719727
Global_Threshold_CV2,Adaptive_Threshold_Sklearn,0.6164737370357979,0.6100011929027473,0.9160208730869582,0.732327320502363,0.5776943309944766,0.7323273205023516,0.5776943309944624,0.6164737370357979,256790,385614,128824,0.6659249923498628,41171,150389,21565,235225,0.0008442401885986328,0.038121700286865234,0.0372774600982666
Global_Threshold_CV2,Otsu_Thresholding_Sklearn,0.8760298873647819,0.8256636022271138,0.9932785544608435,0.9017482455675169,0.8210760801684233,0.901748245567501,0.8210760801683967,0.8760298873647819,256790,308920,52130,0.8312508092710087,137704,53856,1726,255064,0.0008442401885986328,0.032670021057128906,0.03182578086853027
Global_Threshold_CV2,Niblack_Thresholding_Sklearn,0.6025404260064682,0.8163171664318777,0.3949024494723315,0.5322992533102371,0.362675602987039,0.5322992533102231,0.362675602987026,0.6025404260064682,256790,124225,132565,0.48376104988512014,168742,22818,155383,101407,0.0008442401885986328,0.04197049140930176,0.041126251220703125
Global_Threshold_CV2,Sauvola_Thresholding_Sklearn,0.5985435485669678,0.5879177113026754,0.9999454807430196,0.7404739418494835,0.5878988664488551,0.7404739418494728,0.5878988664488416,0.5985435485669678,256790,436755,179965,0.5879497658870534,11581,179979,14,256776,0.0008442401885986328,0.04281497001647949,0.04197072982788086
Global_Threshold_CV2,Sobel_Sklearn,0.492501394000223,0.5982521310968851,0.34682035904824954,0.4390901673088348,0.281303992141429,0.43909016730882394,0.2813039921414201,0.492501394000223,256790,148867,107923,0.5797227306359282,131753,59807,167730,89060,0.0008442401885986328,0.0073490142822265625,0.00650477409362793
Global_Threshold_CV2,Canny_Sklearn,0.4720307795249247,0.6312795092794832,0.18796292690525332,0.2896752878478255,0.16936859170052845,0.2896752878478168,0.16936859170052251,0.4720307795249247,256790,76459,180331,0.2977491335332373,163368,28192,208523,48267,0.0008442401885986328,0.01909041404724121,0.018246173858642578
Global_Threshold_CV2,Global_Threshold_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.008050203323364258,0.007205963134765625
Global_Threshold_CV2,Adaptive_Threshold_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.005615234375,0.004770994186401367
Global_Threshold_CV2,Otsu_Thresholding_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.005509376525878906,0.0046651363372802734
Global_Threshold_CV2,Niblack_Thresholding_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.16124463081359863,0.160400390625
Global_Threshold_CV2,Sauvola_Thresholding_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.1615297794342041,0.16068553924560547
Global_Threshold_CV2,Sobel_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.0054399967193603516,0.004595756530761719
Global_Threshold_CV2,Canny_Torch,0.4272554923608788,0.0,0.0,0.0,0.0,0.0,0.0,0.4272554923608788,256790,0,256790,0.0,191560,0,256790,0,0.0008442401885986328,0.006750583648681641,0.005906343460083008
Adaptive_Threshold_CV2,Global_Threshold_CV2,0.6422460131593621,0.745803964328829,0.668140064680661,0.7048390866148108,0.5442096648613013,0.7048390866147978,0.5442096648612859,0.6422460131593621,286639,256790,29849,0.8958655312082445,96436,65275,95124,191515,0.0013382434844970703,0.0008442401885986328,0.0004940032958984375
Adaptive_Threshold_CV2,Adaptive_Threshold_CV2,1.0,1.0,1.0,1.0,1.0,0.9999999999999826,0.999999999999965,1.0,286639,286639,0,1.0,161711,0,0,286639,0.0013382434844970703,0.0013382434844970703,0.0
Adaptive_Threshold_CV2,Otsu_Thresholding_CV2,0.6024556707929073,0.6838459764188703,0.7033446251207965,0.6934582621751446,0.5307585989021838,0.6934582621751326,0.5307585989021698,0.6024556707929073,286639,294812,8173,0.9722772478732209,68505,93206,85033,201606,0.0013382434844970703,0.0007064342498779297,0.0006318092346191406
Adaptive_Threshold_CV2,Niblack_Thresholding_CV2,0.8056674473067915,0.8978804703329664,0.7853537027410785,0.837855793655963,0.7209568219522038,0.8378557936559474,0.7209568219521806,0.8056674473067915,286639,250716,35923,0.8746751139935598,136108,25603,61526,225113,0.0013382434844970703,0.002405881881713867,0.0010676383972167969
