method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,skimage_felzenszwalb_area,sklearn_kmeans_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff,sklearn_dbscan_area,sklearn_meanshift_area,sklearn_gmm_area,skimage_slic_area,skimage_quickshift_area,skimage_watershed_area,skimage_random_walker_area,skimage_chan_vese_area,skimage_active_contour_area,skimage_threshold_otsu_area,skimage_threshold_niblack_area,skimage_threshold_sauvola_area,skimage_sobel_area,skimage_canny_area
skimage_felzenszwalb,sklearn_kmeans,0.4227672593730309,0.8217448508480253,0.4654503573727177,0.5942866040110548,0.4227651281596867,0.5942866040110497,0.4227651281596815,0.4227672593730309,738025,418030.0,319995,0.5664171267910901,3,74516,394511,343514,0.6216304302215576,0.23192238807678223,0.3897080421447754,,,,,,,,,,,,,,
skimage_felzenszwalb,sklearn_dbscan,0.5477032628386893,0.8652082544789301,0.5946803970055214,0.7048789477783872,0.5442571924603175,0.7048789477783816,0.5442571924603107,0.5477032628386893,738025,,230761,0.6873263100843374,6144,68375,299136,438889,0.6216304302215576,0.8395450115203857,0.21791458129882812,507264.0,,,,,,,,,,,,,
skimage_felzenszwalb,sklearn_meanshift,0.914611393352237,0.9140681217774926,1.0,0.9551051097686601,0.9140681217774926,0.9551051097686539,0.9140681217774813,0.914611393352237,738025,,18446744073709482234,0.9140681217774813,5137,69382,0,738025,0.6216304302215576,23.908570289611816,23.28693985939026,,807407.0,,,,,,,,,,,,
skimage_felzenszwalb,sklearn_gmm,0.4375947640989288,1.0,0.3808082382033129,0.5515729522280587,0.3808082382033129,0.5515729522280532,0.3808082382033077,0.4375947640989288,738025,,456979,0.3808082382033077,74519,0,456979,281046,0.6216304302215576,5.876223802566528,5.254593372344971,,,281046.0,,,,,,,,,,,
skimage_felzenszwalb,skimage_slic,0.8781149082388153,0.9111204045655167,0.9593970393956844,0.9346357303378202,0.8772921684657091,0.934635730337814,0.8772921684656982,0.8781149082388153,738025,,18446744073709512511,0.9496802336803244,5448,69071,29966,708059,0.6216304302215576,0.4215965270996094,0.20003390312194824,,,,777130.0,,,,,,,,,,
skimage_felzenszwalb,skimage_quickshift,0.9092541450063012,0.9099715366974176,0.9989200907828326,0.9523734474622317,0.9090772328700569,0.9523734474622255,0.9090772328700457,0.9092541450063012,738025,,18446744073709479475,0.9109552857068686,1581,72938,797,737228,0.6216304302215576,2.790520191192627,2.1688897609710693,,,,,810166.0,,,,,,,,,
skimage_felzenszwalb,skimage_watershed,0.9082917355860114,0.9082915098542599,1.0,0.951942096020359,0.9082915098542599,0.9519420960203528,0.9082915098542487,0.9082917355860114,738025,,18446744073709477099,0.9082915098542487,2,74517,0,738025,0.6216304302215576,0.18009090423583984,0.4415395259857178,,,,,,812542.0,,,,,,,,
skimage_felzenszwalb,skimage_random_walker,0.845768352236925,0.9398942883850763,0.8869130449510518,0.9126353830881286,0.8393094357622416,0.9126353830881223,0.8393094357622308,0.845768352236925,738025,,41602,0.943630635818557,32660,41859,83461,654564,0.6216304302215576,10.588610649108887,9.966980218887329,,,,,,,696423.0,,,,,,,
skimage_felzenszwalb,skimage_chan_vese,0.595838502284184,0.9999853529213598,0.5550381084651604,0.7138541540504486,0.5550335961497552,0.7138541540504424,0.5550335961497477,0.595838502284184,738025,,328387,0.5550462382710537,74513,6,328393,409632,0.6216304302215576,3.837524652481079,3.2158942222595215,,,,,,,,409638.0,,,,,,
skimage_felzenszwalb,skimage_active_contour,0.2678181120037807,1.0,0.19388909589783543,0.3248025240602869,0.19388909589783543,0.3248025240602832,0.19388909589783282,0.2678181120037807,738025,,594930,0.19388909589783282,74519,0,594930,143095,0.6216304302215576,0.26756906509399414,0.3540613651275635,,,,,,,,,143095.0,,,,,
skimage_felzenszwalb,skimage_threshold_otsu,0.3893586070415879,0.8093828512364978,0.4286535008976661,0.5604759378042267,0.38934808560914674,0.5604759378042217,0.38934808560914197,0.3893586070415879,738025,,347163,0.5296053656718874,14,74505,421668,316357,0.6216304302215576,0.002071380615234375,0.6195590496063232,,,,,,,,,,390862.0,,,,
skimage_felzenszwalb,skimage_threshold_niblack,0.5668136125551355,0.9227132170012965,0.5708925849395345,0.70536701575107,0.5448393670892624,0.7053670157510641,0.5448393670892553,0.5668136125551355,738025,,281401,0.6187107482808764,39228,35291,316692,421333,0.6216304302215576,0.02079486846923828,0.6008355617523193,,,,,,,,,,,456624.0,,,
skimage_felzenszwalb,skimage_threshold_sauvola,0.7439055608065532,0.8918487254529348,0.8171389858067138,0.8528608581655266,0.7434676640896891,0.8528608581655206,0.74346766408968,0.7439055608065532,738025,,61824,0.9162304799972776,1387,73132,134956,603069,0.6216304302215576,0.020176172256469727,0.6014542579650879,,,,,,,,,,,,676201.0,,
skimage_felzenszwalb,skimage_sobel,0.16467538988657845,0.9994103475579965,0.08037939094204126,0.14879192156331594,0.08037557922120153,0.14879192156331408,0.08037557922120044,0.16467538988657845,738025,,678668,0.08042681480979533,74484,35,678703,59322,0.6216304302215576,0.009979248046875,0.6116511821746826,,,,,,,,,,,,,59357.0,
skimage_felzenszwalb,skimage_canny,0.18885131143667297,0.9995696148052508,0.1069950204938857,0.19329909525301583,0.10699009157804458,0.19329909525301345,0.10699009157804312,0.18885131143667297,738025,,659026,0.10704108939398926,74485,34,659060,78965,0.6216304302215576,0.034891605377197266,0.5867388248443604,,,,,,,,,,,,,,78999.0
