method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.0069468021392822266,184873,22.752367871770637,"(1104, 736, 3)"
Adaptive_Threshold_CV2,0.013395071029663086,548883,67.55117261342156,"(1104, 736, 3)"
Otsu_CV2,0.009348154067993164,390110,48.01093848456207,"(1104, 736, 3)"
Region_Growing_CV2,0.3416328430175781,124332,15.301571361058603,"(1104, 736, 3)"
Split_and_Merge_CV2,2.0525200366973877,268260,33.01482750472589,"(1104, 736, 3)"
Sobel_CV2,0.011123418807983398,47882,5.892850110270952,"(1104, 736, 3)"
Canny_CV2,0.007053375244140625,103187,12.699250748267172,"(1104, 736, 3)"
KMeans_CV2,0.2478954792022705,417100,51.332604757403914,"(1104, 736, 3)"
Active_Contour_CV2,0.32419514656066895,94252,11.599617989918084,"(1104, 736, 3)"
GVF_Contour_CV2,0.6841130256652832,129,0.015876063327032137,"(1104, 736, 3)"
Watershed_CV2,0.026668071746826172,348996,42.95102788279773,"(1104, 736, 3)"
GrabCut_CV2,11.228196144104004,107037,13.173071242911153,"(1104, 736, 3)"
FloodFill_CV2,0.022283554077148438,83825,10.31636440611216,"(1104, 736, 3)"
Morphological_Snakes_CV2,1.9103977680206299,812536,99.99901543793321,"(1104, 736, 3)"
Slic_CV2,0.44934678077697754,777823,95.72687755986138,"(1104, 736, 3)"
Felzenszwalb_CV2,0.7171893119812012,771212,94.91326008191557,"(1104, 736, 3)"
Chan_Vese_CV2,0.0984954833984375,812544,100.0,"(1104, 736, 3)"
Threshold_Niblack_CV2,0.010399580001831055,78618,9.67553757088847,"(1104, 736, 3)"
Threshold_Sauvola_CV2,0.01610088348388672,517793,63.72491828134845,"(1104, 736, 3)"
Random_Walker_CV2,10.01546335220337,690866,85.02505710459988,"(1104, 736, 3)"
Global_Threshold_Torch,0.0382082462310791,184873,22.752367871770637,"(1104, 736, 3)"
Adaptive_Threshold_Torch,0.037491559982299805,548145,67.46034676275993,"(1104, 736, 3)"
Otsu_Torch,0.026391267776489258,391161,48.14028532608695,"(1104, 736, 3)"
Split_and_Merge_Torch,0.022778034210205078,12696,1.5625,"(1104, 736, 3)"
Sobel_Torch,0.022776365280151367,118185,14.545058482986766,"(1104, 736, 3)"
Canny_Torch,0.023521900177001953,155051,19.082166627284185,"(1104, 736, 3)"
KMeans_Torch,0.0333561897277832,467685,57.55811377599244,"(1104, 736, 3)"
Watershed_Torch,713.3045134544373,726293,89.38506714713296,"(1104, 736, 3)"
Grabcut_Torch,31.018707036972046,221445,27.253293360113425,"(1104, 736, 3)"
FloodFill_Torch,45.74790954589844,326958,40.23880552930057,"(1104, 736, 3)"
Neural_SegFormer,0.5198063850402832,812544,100.0,"(1104, 736, 3)"
