Method,Time (s),Success,Mask Area,Mask Shape,Error
KMeans,0.02587151527404785,True,201913,"(512, 683)",
GrabCut,0.02682805061340332,True,160708,"(512, 683)",
Neural,0.4100005626678467,True,336273,"(512, 683)",
MeanShift,18.626057863235474,True,348902,"(512, 683)",
FloodFill,131.70602774620056,True,100171,"(512, 683)",
Watershed,783.8823056221008,True,319634,"(512, 683)",
