method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.010303974151611328,555694,68.38940414303718,"(1104, 736, 3)"
Adaptive_Threshold_CV2,0.012638092041015625,577963,71.13005572621299,"(1104, 736, 3)"
Otsu_CV2,0.01091456413269043,588616,72.4411231884058,"(1104, 736, 3)"
Region_Growing_CV2,0.11928749084472656,46621,5.737658514492754,"(1104, 736, 3)"
Split_and_Merge_CV2,2.534754991531372,181106,22.28876220856963,"(1104, 736, 3)"
Sobel_CV2,0.011993408203125,122587,15.086813760239446,"(1104, 736, 3)"
Canny_CV2,0.00714111328125,106510,13.108213216761186,"(1104, 736, 3)"
KMeans_CV2,0.2562878131866455,384408,47.309191871455575,"(1104, 736, 3)"
Active_Contour_CV2,0.37696003913879395,91090,11.210469833018273,"(1104, 736, 3)"
GVF_Contour_CV2,0.6911742687225342,3,0.000369210775047259,"(1104, 736, 3)"
Watershed_CV2,0.020411968231201172,66417,8.173957348771268,"(1104, 736, 3)"
GrabCut_CV2,3.7042853832244873,95244,11.721703686200378,"(1104, 736, 3)"
FloodFill_CV2,0.021853923797607422,43403,5.341618423125394,"(1104, 736, 3)"
Morphological_Snakes_CV2,1.979635238647461,812541,99.99963078922495,"(1104, 736, 3)"
Slic_CV2,0.4484519958496094,750485,92.36238283711405,"(1104, 736, 3)"
Felzenszwalb_CV2,0.7012286186218262,733896,90.32077032136105,"(1104, 736, 3)"
Chan_Vese_CV2,0.10054349899291992,812544,100.0,"(1104, 736, 3)"
Threshold_Niblack_CV2,0.010459423065185547,88553,10.898240587586642,"(1104, 736, 3)"
Threshold_Sauvola_CV2,0.012388944625854492,213052,26.220364681789537,"(1104, 736, 3)"
Random_Walker_CV2,24.466143369674683,718896,88.47471644612477,"(1104, 736, 3)"
Global_Threshold_Torch,0.07121658325195312,555694,68.38940414303718,"(1104, 736, 3)"
Adaptive_Threshold_Torch,0.02930474281311035,574029,70.64589732986768,"(1104, 736, 3)"
Otsu_Torch,0.028315305709838867,589849,72.59286881695022,"(1104, 736, 3)"
Split_and_Merge_Torch,0.024947404861450195,12696,1.5625,"(1104, 736, 3)"
Sobel_Torch,0.024950504302978516,207264,25.508034026465026,"(1104, 736, 3)"
Canny_Torch,0.02489447593688965,236013,29.046180883742913,"(1104, 736, 3)"
KMeans_Torch,0.041825294494628906,384390,47.30697660680529,"(1104, 736, 3)"
Watershed_Torch,4216.829134225845,754209,92.82069647920605,"(1104, 736, 3)"
Grabcut_Torch,31.463602542877197,386300,47.54204080025205,"(1104, 736, 3)"
FloodFill_Torch,221.42216181755066,170151,20.94052752835539,"(1104, 736, 3)"
Neural_SegFormer,0.5623548030853271,812544,100.0,"(1104, 736, 3)"
