method,time_seconds,mask_area_pixels,mask_percentage,image_shape
Global_Threshold_CV2,0.010499238967895508,555694,68.38940414303718,"(1104, 736, 3)"
Adaptive_Threshold_CV2,0.013213396072387695,577963,71.13005572621299,"(1104, 736, 3)"
Otsu_CV2,0.011132001876831055,588616,72.4411231884058,"(1104, 736, 3)"
Region_Growing_CV2,0.11921882629394531,46621,5.737658514492754,"(1104, 736, 3)"
Split_and_Merge_CV2,2.4947593212127686,181106,22.28876220856963,"(1104, 736, 3)"
Sobel_CV2,0.01177525520324707,122587,15.086813760239446,"(1104, 736, 3)"
Canny_CV2,0.007262706756591797,106510,13.108213216761186,"(1104, 736, 3)"
KMeans_CV2,0.25311803817749023,384408,47.309191871455575,"(1104, 736, 3)"
Active_Contour_CV2,0.34805893898010254,91090,11.210469833018273,"(1104, 736, 3)"
GVF_Contour_CV2,0.6863400936126709,3,0.000369210775047259,"(1104, 736, 3)"
Watershed_CV2,0.021732807159423828,66417,8.173957348771268,"(1104, 736, 3)"
GrabCut_CV2,3.6995511054992676,95244,11.721703686200378,"(1104, 736, 3)"
FloodFill_CV2,0.02184748649597168,43403,5.341618423125394,"(1104, 736, 3)"
Morphological_Snakes_CV2,1.9505627155303955,812541,99.99963078922495,"(1104, 736, 3)"
Slic_CV2,0.4403812885284424,750485,92.36238283711405,"(1104, 736, 3)"
Felzenszwalb_CV2,0.6890926361083984,733896,90.32077032136105,"(1104, 736, 3)"
Chan_Vese_CV2,0.09736013412475586,812544,100.0,"(1104, 736, 3)"
Threshold_Niblack_CV2,0.01042938232421875,88553,10.898240587586642,"(1104, 736, 3)"
Threshold_Sauvola_CV2,0.012363910675048828,213052,26.220364681789537,"(1104, 736, 3)"
Random_Walker_CV2,9.386451244354248,718896,88.47471644612477,"(1104, 736, 3)"
Global_Threshold_Torch,0.09044814109802246,555694,68.38940414303718,"(1104, 736, 3)"
Adaptive_Threshold_Torch,0.028825998306274414,574029,70.64589732986768,"(1104, 736, 3)"
Otsu_Torch,0.028608083724975586,589849,72.59286881695022,"(1104, 736, 3)"
Split_and_Merge_Torch,0.030907392501831055,12696,1.5625,"(1104, 736, 3)"
Sobel_Torch,0.02985382080078125,207264,25.508034026465026,"(1104, 736, 3)"
Canny_Torch,0.032258033752441406,236013,29.046180883742913,"(1104, 736, 3)"
KMeans_Torch,0.04152321815490723,400294,49.26428599558916,"(1104, 736, 3)"
Watershed_Torch,1176.2378447055817,754209,92.82069647920605,"(1104, 736, 3)"
Grabcut_Torch,30.976491928100586,386300,47.54204080025205,"(1104, 736, 3)"
FloodFill_Torch,33.557321548461914,170151,20.94052752835539,"(1104, 736, 3)"
Neural_SegFormer,0.5157952308654785,812544,100.0,"(1104, 736, 3)"
