method1,method2,accuracy,precision,recall,f1_score,jaccard,dice_coefficient,intersection_over_union,pixel_agreement,sklearn_kmeans_area,area_difference,area_ratio,true_negative,false_positive,false_negative,true_positive,time1,time2,time_diff,sklearn_dbscan_area,sklearn_meanshift_area,sklearn_gmm_area,skimage_felzenszwalb_area,skimage_slic_area,skimage_quickshift_area,skimage_watershed_area,skimage_random_walker_area,skimage_chan_vese_area,skimage_active_contour_area,skimage_threshold_otsu_area,skimage_threshold_niblack_area,skimage_threshold_sauvola_area,skimage_sobel_area,skimage_canny_area
sklearn_kmeans,sklearn_kmeans,1.0,1.0,1.0,1.0,1.0,0.9999999999999866,0.9999999999999731,1.0,372026.0,0,0.9999999999999731,242374,0,0,372026,0.2623319625854492,0.2623319625854492,0.0,,,,,,,,,,,,,,,
sklearn_kmeans,sklearn_dbscan,0.5879752604166667,0.825272524297347,0.4053668292001097,0.5436817950760867,0.3733262368333106,0.5436817950760768,0.3733262368333014,0.5879752604166667,372026.0,189290,0.4911914758645769,210445,31929,221219,150807,0.2623319625854492,0.5228917598724365,0.2605597972869873,182736.0,,,,,,,,,,,,,,
sklearn_kmeans,sklearn_meanshift,0.6029264322916666,0.6044888154931692,0.9957314811330391,0.7522821012186776,0.6029264322916666,0.7522821012186699,0.6029264322916569,0.6029264322916666,372026.0,18446744073709310830,0.6070801485610496,0,242374,1588,370438,0.2623319625854492,19.53449821472168,19.27216625213623,,612812.0,,,,,,,,,,,,,
sklearn_kmeans,sklearn_gmm,0.5031722005208333,0.610571843962471,0.495567514098477,0.5470912298454403,0.37654892109106136,0.5470912298454321,0.37654892109105365,0.5031722005208333,372026.0,70073,0.8116448850348951,124785,117589,187662,184364,0.2623319625854492,2.520590305328369,2.25825834274292,,,301953.0,,,,,,,,,,,,
sklearn_kmeans,skimage_felzenszwalb,0.6315478515625,0.6280626662891731,0.9600296753452716,0.7593497957348284,0.6120579298857134,0.7593497957348203,0.612057929885703,0.6315478515625,372026.0,18446744073709354979,0.6542117211775577,30867,211507,14870,357156,0.2623319625854492,0.4669058322906494,0.2045738697052002,,,,568663.0,,,,,,,,,,,
sklearn_kmeans,skimage_slic,0.5897705078125,0.6026227690981281,0.9469150005644766,0.7365196911140405,0.5829292992808469,0.7365196911140328,0.5829292992808373,0.5897705078125,372026.0,18446744073709339069,0.6364064026220739,10078,232296,19749,352277,0.2623319625854492,0.34077906608581543,0.07844710350036621,,,,,584573.0,,,,,,,,,,
sklearn_kmeans,skimage_quickshift,0.6019970703125,0.6041267492212525,0.9941428824867079,0.7515481692739582,0.6019841140662131,0.7515481692739505,0.6019841140662033,0.6019970703125,372026.0,18446744073709311441,0.6076860377555638,20,242354,2179,369847,0.2623319625854492,2.2058029174804688,1.9434709548950195,,,,,,612201.0,,,,,,,,,
sklearn_kmeans,skimage_watershed,0.5091634114583333,0.5656467212045544,0.8159187798702241,0.6681142258456445,0.5016302740149361,0.6681142258456372,0.5016302740149278,0.5091634114583333,372026.0,18446744073709387012,0.6932635148985206,9287,233087,68483,303543,0.2623319625854492,0.15744614601135254,0.10488581657409668,,,,,,,536630.0,,,,,,,,
sklearn_kmeans,skimage_random_walker,0.554443359375,0.5904385916478015,0.8623133866987791,0.7009360292607466,0.5395700635603554,0.700936029260739,0.5395700635603463,0.554443359375,372026.0,18446744073709380312,0.6847146301510926,19847,222527,51223,320803,0.2623319625854492,6.349860429763794,6.087528467178345,,,,,,,,543330.0,,,,,,,
sklearn_kmeans,skimage_chan_vese,0.45963216145833335,0.5754736905623944,0.4101541290124884,0.4789493673667327,0.31488062073092715,0.47894936736672516,0.31488062073092066,0.45963216145833335,372026.0,106874,0.7127243794788345,129810,112564,219438,152588,0.2623319625854492,2.432753086090088,2.1704211235046387,,,,,,,,,265152.0,,,,,,
sklearn_kmeans,skimage_active_contour,0.40814778645833333,0.5371294575701265,0.1631633272943289,0.25029482347702026,0.14304971308046707,0.2502948234770151,0.14304971308046371,0.40814778645833333,372026.0,259016,0.3037690914075816,190065,52309,311325,60701,0.2623319625854492,0.24148011207580566,0.020851850509643555,,,,,,,,,,113010.0,,,,,
sklearn_kmeans,skimage_threshold_otsu,0.5195182291666667,0.6733164269082902,0.40108755839645616,0.5027137750615696,0.3357499499350844,0.502713775061561,0.3357499499350768,0.5195182291666667,372026.0,150414,0.595689548579922,169977,72397,222811,149215,0.2623319625854492,0.0015056133270263672,0.26082634925842285,,,,,,,,,,,221612.0,,,,
sklearn_kmeans,skimage_threshold_niblack,0.41765625,0.5212245019682691,0.46979780983049574,0.4941768243547005,0.3281771939410668,0.4941768243546935,0.3281771939410606,0.41765625,372026.0,36706,0.9013348529403616,81831,160543,197249,174777,0.2623319625854492,0.015776395797729492,0.24655556678771973,,,,,,,,,,,,335320.0,,,
sklearn_kmeans,skimage_threshold_sauvola,0.44351399739583336,0.5328383755791769,0.6568707563449866,0.5883891068571518,0.4168210302962076,0.5883891068571447,0.4168210302962005,0.44351399739583336,372026.0,18446744073709465017,0.8111768874352507,28122,214252,127653,244373,0.2623319625854492,0.014647722244262695,0.24768424034118652,,,,,,,,,,,,,458625.0,,
sklearn_kmeans,skimage_sobel,0.3619384765625,0.3992889443946459,0.10656513254449958,0.16823143757359726,0.0918409896448676,0.1682314375735937,0.09184098964486548,0.3619384765625,372026.0,272737,0.2668872605678026,182730,59644,332381,39645,0.2623319625854492,0.00723719596862793,0.2550947666168213,,,,,,,,,,,,,,99289.0,
sklearn_kmeans,skimage_canny,0.37186360677083335,0.4445658502348803,0.1498309257955089,0.22412541791563884,0.12620565673764003,0.22412541791563434,0.12620565673763717,0.37186360677083335,372026.0,246643,0.33702751958195565,172732,69642,316285,55741,0.2623319625854492,0.03164935111999512,0.2306826114654541,,,,,,,,,,,,,,,125383.0
sklearn_dbscan,sklearn_kmeans,0.5879752604166667,0.4053668292001097,0.825272524297347,0.5436817950760867,0.3733262368333106,0.5436817950760768,0.3733262368333014,0.5879752604166667,372026.0,18446744073709362326,0.4911914758645769,210445,221219,31929,150807,0.5228917598724365,0.2623319625854492,0.2605597972869873,182736.0,,,,,,,,,,,,,,
sklearn_dbscan,sklearn_dbscan,1.0,1.0,1.0,1.0,1.0,0.9999999999999726,0.9999999999999453,1.0,,0,0.9999999999999453,431664,0,0,182736,0.5228917598724365,0.5228917598724365,0.0,182736.0,,,,,,,,,,,,,,
sklearn_dbscan,sklearn_meanshift,0.2948502604166667,0.2956077883592358,0.9913317572892041,0.45541438103043436,0.2948456695681613,0.45541438103042864,0.29484566956815644,0.2948502604166667,,18446744073709121540,0.29819259413979654,4,431660,1584,181152,0.5228917598724365,19.53449821472168,19.011606454849243,182736.0,612812.0,,,,,,,,,,,,,
sklearn_dbscan,sklearn_gmm,0.5319254557291667,0.32638192036508995,0.5393135452237107,0.40666076597570816,0.2552254769680191,0.4066607659756997,0.2552254769680125,0.5319254557291667,,18446744073709432399,0.6051802764006118,228263,203401,84184,98552,0.5228917598724365,2.520590305328369,1.9976985454559326,182736.0,,301953.0,,,,,,,,,,,,
